Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_MST,0,3456,0,364,19,122.70,0.00
a20,hhi_MST,0.50,3712,0,356,19,136.23,0.00
a20,hhi_MST,1.00,3712,0,356,19,136.23,0.00
a20,hhi_MST,3.00,3712,0,356,19,136.23,0.00
a20,hhi_MST,5.00,3712,0,356,19,136.23,0.00
a20,hhi_MST,7.00,3712,0,358,19,136.26,0.00
a20,hhi_MST,10.00,3712,0,349,19,144.74,0.00
a20,hhi_MST,25.00,3712,0,341,18,154.47,0.00
a20,hhi_MST,50.00,3712,0,338,18,155.73,0.00
a20,hhi_MST,75.00,3712,0,449,18,142.03,0.00
a20,hhi_MST,100.00,3712,0,449,18,142.03,0.00
a20,hhi_MST,200.00,3712,0,444,19,141.27,0.00
a280,hhi_MST,0.00,3712,0,3157,276,145.77,0.00
a280,hhi_MST,0.50,3712,0,3304,276,151.26,0.00
a280,hhi_MST,1.00,3712,1,3304,276,151.26,0.00
a280,hhi_MST,3.00,3712,0,3508,276,153.01,0.00
a280,hhi_MST,5.00,3712,0,3162,276,155.15,0.00
a280,hhi_MST,7.00,3712,1,3040,276,156.69,0.00
a280,hhi_MST,10.00,3712,0,3470,276,155.78,0.00
a280,hhi_MST,25.00,3712,1,3536,276,162.35,0.00
a280,hhi_MST,50.00,3712,0,4196,277,162.25,0.00
a280,hhi_MST,75.00,3712,0,4874,277,161.14,0.00
a280,hhi_MST,100.00,3712,1,5433,277,161.19,0.00
a280,hhi_MST,200.00,3712,0,6014,277,160.72,0.00
xql662,hhi_MST,0.00,3712,2,3124,654,133.77,0.00
xql662,hhi_MST,0.50,3712,5,3149,656,138.64,0.00
xql662,hhi_MST,1.00,3712,6,3280,656,137.80,0.00
xql662,hhi_MST,3.00,3712,6,3299,659,143.51,0.00
xql662,hhi_MST,5.00,3712,6,3533,661,145.21,0.00
xql662,hhi_MST,7.00,3712,4,3556,659,148.31,0.00
xql662,hhi_MST,10.00,3712,4,3843,661,150.08,0.00
xql662,hhi_MST,25.00,3712,4,5045,660,157.98,0.00
xql662,hhi_MST,50.00,3712,5,6183,660,160.81,0.00
xql662,hhi_MST,75.00,3712,4,6917,661,161.89,0.00
xql662,hhi_MST,100.00,3712,7,7233,661,162.41,0.00
xql662,hhi_MST,200.00,3712,4,8442,660,162.22,0.00
kz9976,hhi_MST,0.00,4096,383,1358249,9965,119.15,0.00
kz9976,hhi_MST,0.50,4096,1084,1338048,9962,118.88,0.00
kz9976,hhi_MST,1.00,4096,1176,1342431,9965,118.89,0.00
kz9976,hhi_MST,3.00,4096,1248,1347175,9961,119.70,0.00
kz9976,hhi_MST,5.00,4096,1119,1347311,9959,120.12,0.00
kz9976,hhi_MST,7.00,4096,1206,1345172,9964,120.88,0.00
kz9976,hhi_MST,10.00,4096,1076,1334459,9967,121.55,0.00
kz9976,hhi_MST,25.00,4096,1188,1353466,9965,125.09,0.00
kz9976,hhi_MST,50.00,4096,1148,1400980,9967,130.24,0.00
kz9976,hhi_MST,75.00,4096,1181,1449133,9969,134.09,0.00
kz9976,hhi_MST,100.00,4096,1149,1471952,9975,137.09,0.00
kz9976,hhi_MST,200.00,4096,1177,1653848,9971,144.46,0.00
ei8246,hhi_MST,0.00,4164,276,257735,8238,117.94,0.00
ei8246,hhi_MST,0.50,4164,808,259907,8237,118.85,0.00
ei8246,hhi_MST,1.00,4164,781,260328,8238,119.48,0.00
ei8246,hhi_MST,3.00,4164,759,260135,8235,120.90,0.00
ei8246,hhi_MST,5.00,4164,900,257367,8236,123.40,0.00
ei8246,hhi_MST,7.00,4164,808,263314,8240,125.46,0.00
ei8246,hhi_MST,10.00,4164,793,272612,8243,128.42,0.00
ei8246,hhi_MST,25.00,4164,797,293635,8243,137.39,0.00
ei8246,hhi_MST,50.00,4164,851,325814,8244,145.45,0.00
ei8246,hhi_MST,75.00,4164,805,357536,8244,150.08,0.00
ei8246,hhi_MST,100.00,4164,784,384982,8245,152.93,0.00
ei8246,hhi_MST,200.00,4164,804,462277,8244,158.63,0.00
vm22775,hhi_MST,0.00,4524,1883,707629,22563,120.14,0.00
vm22775,hhi_MST,0.50,4524,4823,749508,22611,126.57,0.00
vm22775,hhi_MST,1.00,4524,4892,740774,22589,126.53,0.00
vm22775,hhi_MST,3.00,4524,4695,735537,22634,127.45,0.00
vm22775,hhi_MST,5.00,4524,4750,727709,22643,128.24,0.00
vm22775,hhi_MST,7.00,4524,4958,726746,22668,129.12,0.00
vm22775,hhi_MST,10.00,4524,5089,750385,22691,132.24,0.00
vm22775,hhi_MST,25.00,4524,5086,811121,22734,142.01,0.00
vm22775,hhi_MST,50.00,4524,5453,915231,22759,149.40,0.00
vm22775,hhi_MST,75.00,4524,5476,983521,22763,152.90,0.00
vm22775,hhi_MST,100.00,4524,5214,1037379,22766,155.63,0.00
vm22775,hhi_MST,200.00,4524,5207,1244935,22772,161.23,0.00
ja9847,hhi_MST,0.00,4524,349,665821,9801,120.67,0.00
ja9847,hhi_MST,0.50,4524,1031,663840,9803,122.50,0.00
ja9847,hhi_MST,1.00,4524,977,628001,9804,122.47,0.00
ja9847,hhi_MST,3.00,4524,994,640266,9808,123.38,0.00
ja9847,hhi_MST,5.00,4524,985,630699,9807,124.00,0.00
ja9847,hhi_MST,7.00,4524,1004,653392,9802,125.10,0.00
ja9847,hhi_MST,10.00,4524,958,634987,9819,126.51,0.00
ja9847,hhi_MST,25.00,4524,965,673468,9827,133.27,0.00
ja9847,hhi_MST,50.00,4524,1025,741950,9829,139.26,0.00
ja9847,hhi_MST,75.00,4524,948,727914,9828,143.39,0.00
ja9847,hhi_MST,100.00,4524,987,780854,9842,146.72,0.00
ja9847,hhi_MST,200.00,4524,1012,899259,9843,152.65,0.00
mona-lisa100K,hhi_MST,0.00,5844,52296,6846598,99956,119.98,0.00
mona-lisa100K,hhi_MST,0.50,5844,143220,6881832,99957,121.42,0.00
mona-lisa100K,hhi_MST,1.00,5844,139588,6900839,99961,122.50,0.00
mona-lisa100K,hhi_MST,3.00,5844,150592,6898958,99964,126.59,0.00
mona-lisa100K,hhi_MST,5.00,5844,139490,6963417,99969,129.74,0.00
mona-lisa100K,hhi_MST,7.00,5844,174978,6981061,99957,132.52,0.00
mona-lisa100K,hhi_MST,10.00,5844,173124,7000517,99972,135.35,0.00
mona-lisa100K,hhi_MST,25.00,5844,173662,7118646,99982,142.18,0.00
mona-lisa100K,hhi_MST,50.00,5844,174362,7353235,99978,148.02,0.00
mona-lisa100K,hhi_MST,75.00,5844,175277,7637519,99991,151.17,0.00
mona-lisa100K,hhi_MST,100.00,5844,177373,7912984,99995,153.32,0.00
mona-lisa100K,hhi_MST,200.00,5844,174765,8846660,99996,158.41,0.00
