Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_MST,0,3584,0,364,19,122.70,0.00
a20,hhi_MST,0.50,3712,0,364,19,122.70,0.00
a20,hhi_MST,1.00,3712,0,364,19,122.70,0.00
a20,hhi_MST,3.00,3712,0,364,19,122.70,0.00
a20,hhi_MST,5.00,3712,0,364,19,122.70,0.00
a20,hhi_MST,7.00,3712,0,364,19,122.70,0.00
a20,hhi_MST,10.00,3712,0,364,19,122.70,0.00
a20,hhi_MST,25.00,3712,0,365,19,128.43,0.00
a20,hhi_MST,50.00,3712,0,405,19,122.02,0.00
a20,hhi_MST,75.00,3712,0,405,19,122.02,0.00
a20,hhi_MST,100.00,3712,0,405,19,122.02,0.00
a20,hhi_MST,200.00,3712,0,405,19,122.02,0.00
a280,hhi_MST,0.00,3712,0,3157,276,145.77,0.00
a280,hhi_MST,0.50,3712,0,3417,277,145.99,0.00
a280,hhi_MST,1.00,3712,0,3417,277,145.99,0.00
a280,hhi_MST,3.00,3712,0,3497,277,142.46,0.00
a280,hhi_MST,5.00,3712,0,3340,276,138.85,0.00
a280,hhi_MST,7.00,3712,0,3398,276,139.84,0.00
a280,hhi_MST,10.00,3712,0,3244,276,142.10,0.00
a280,hhi_MST,25.00,3712,0,3530,276,144.66,0.00
a280,hhi_MST,50.00,3712,0,3570,277,143.89,0.00
a280,hhi_MST,75.00,3712,0,3625,277,144.50,0.00
a280,hhi_MST,100.00,3712,0,3725,277,146.53,0.00
a280,hhi_MST,200.00,3712,0,3879,277,145.87,0.00
xql662,hhi_MST,0.00,3712,2,3124,654,133.77,0.00
xql662,hhi_MST,0.50,3712,3,3159,656,135.23,0.00
xql662,hhi_MST,1.00,3712,2,3150,660,134.30,0.00
xql662,hhi_MST,3.00,3712,4,3290,659,136.65,0.00
xql662,hhi_MST,5.00,3712,3,3254,660,139.94,0.00
xql662,hhi_MST,7.00,3712,4,3270,661,138.48,0.00
xql662,hhi_MST,10.00,3712,3,3338,660,140.26,0.00
xql662,hhi_MST,25.00,3712,3,3434,661,140.99,0.00
xql662,hhi_MST,50.00,3712,2,3569,660,141.33,0.00
xql662,hhi_MST,75.00,3712,3,3573,661,141.39,0.00
xql662,hhi_MST,100.00,3712,3,3615,660,141.78,0.00
xql662,hhi_MST,200.00,3712,3,4081,661,142.08,0.00
kz9976,hhi_MST,0.00,3968,392,1358249,9965,119.15,0.00
kz9976,hhi_MST,0.50,3968,702,1359097,9959,118.85,0.00
kz9976,hhi_MST,1.00,3968,697,1351303,9960,118.98,0.00
kz9976,hhi_MST,3.00,3968,788,1363552,9961,119.14,0.00
kz9976,hhi_MST,5.00,3968,812,1332508,9960,119.12,0.00
kz9976,hhi_MST,7.00,3968,813,1340239,9962,119.79,0.00
kz9976,hhi_MST,10.00,3968,741,1331023,9966,119.67,0.00
kz9976,hhi_MST,25.00,3968,739,1338446,9972,121.08,0.00
kz9976,hhi_MST,50.00,3968,747,1353554,9974,122.29,0.00
kz9976,hhi_MST,75.00,3968,695,1373177,9973,123.12,0.00
kz9976,hhi_MST,100.00,3968,704,1424991,9972,124.12,0.00
kz9976,hhi_MST,200.00,3968,683,1423790,9974,126.32,0.00
ei8246,hhi_MST,0.00,4084,278,257735,8238,117.94,0.00
ei8246,hhi_MST,0.50,4084,546,258877,8239,118.57,0.00
ei8246,hhi_MST,1.00,4084,501,258148,8239,118.80,0.00
ei8246,hhi_MST,3.00,4084,488,262056,8236,119.41,0.00
ei8246,hhi_MST,5.00,4084,482,257727,8239,120.08,0.00
ei8246,hhi_MST,7.00,4084,514,260863,8242,120.97,0.00
ei8246,hhi_MST,10.00,4084,508,260353,8240,121.84,0.00
ei8246,hhi_MST,25.00,4084,527,266987,8243,124.37,0.00
ei8246,hhi_MST,50.00,4084,513,278494,8245,126.65,0.00
ei8246,hhi_MST,75.00,4084,503,282364,8245,127.60,0.00
ei8246,hhi_MST,100.00,4084,506,286405,8245,128.42,0.00
ei8246,hhi_MST,200.00,4084,545,303199,8245,129.84,0.00
vm22775,hhi_MST,0.00,4328,2078,707629,22563,120.14,0.00
vm22775,hhi_MST,0.50,4328,3088,722105,22586,121.10,0.00
vm22775,hhi_MST,1.00,4328,2972,724426,22601,121.19,0.00
vm22775,hhi_MST,3.00,4328,2995,723954,22650,121.18,0.00
vm22775,hhi_MST,5.00,4328,3019,723082,22642,121.43,0.00
vm22775,hhi_MST,7.00,4328,3055,722807,22667,121.61,0.00
vm22775,hhi_MST,10.00,4328,3001,731675,22707,122.47,0.00
vm22775,hhi_MST,25.00,4328,3072,734719,22753,123.71,0.00
vm22775,hhi_MST,50.00,4328,3053,752826,22761,125.01,0.00
vm22775,hhi_MST,75.00,4328,2979,776570,22771,125.37,0.00
vm22775,hhi_MST,100.00,4328,3018,770812,22768,125.89,0.00
vm22775,hhi_MST,200.00,4328,2907,809681,22774,126.71,0.00
ja9847,hhi_MST,0.00,4328,392,665821,9801,120.67,0.00
ja9847,hhi_MST,0.50,4328,641,636350,9803,121.02,0.00
ja9847,hhi_MST,1.00,4328,682,631417,9802,121.12,0.00
ja9847,hhi_MST,3.00,4328,633,650471,9808,121.13,0.00
ja9847,hhi_MST,5.00,4328,592,662812,9818,121.43,0.00
ja9847,hhi_MST,7.00,4328,681,647898,9817,121.85,0.00
ja9847,hhi_MST,10.00,4328,615,649373,9821,122.69,0.00
