Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_MST,0,3712,0,370,19,113.22,0.00
a20,hhi_MST,0.50,3840,0,370,19,113.22,0.00
a20,hhi_MST,1.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,1.50,3840,0,370,19,113.22,0.00
a20,hhi_MST,2.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,2.50,3840,0,370,19,113.22,0.00
a20,hhi_MST,3.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,3.50,3840,0,370,19,113.22,0.00
a20,hhi_MST,4.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,4.50,3840,0,370,19,113.22,0.00
a20,hhi_MST,5.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,7.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,10.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,25.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,50.00,3840,0,365,18,128.79,0.00
a20,hhi_MST,75.00,3840,0,415,18,114.51,0.00
a20,hhi_MST,100.00,3840,0,415,18,114.51,0.00
a20,hhi_MST,200.00,3840,0,415,18,114.51,0.00
a280,hhi_MST,0.00,3840,0,3736,271,133.03,0.00
a280,hhi_MST,0.50,3840,0,3830,271,133.19,0.00
a280,hhi_MST,1.00,3840,0,3830,271,133.19,0.00
a280,hhi_MST,1.50,3840,0,3830,271,133.19,0.00
a280,hhi_MST,2.00,3840,0,3830,271,133.19,0.00
a280,hhi_MST,2.50,3840,0,3830,271,133.19,0.00
a280,hhi_MST,3.00,3840,0,3830,271,133.19,0.00
a280,hhi_MST,3.50,3840,0,3830,271,133.19,0.00
a280,hhi_MST,4.00,3840,0,3830,271,133.19,0.00
a280,hhi_MST,4.50,3840,0,3830,271,133.19,0.00
a280,hhi_MST,5.00,3840,0,3830,271,133.19,0.00
a280,hhi_MST,7.00,3840,0,3830,271,133.19,0.00
a280,hhi_MST,10.00,3840,0,3830,271,133.19,0.00
a280,hhi_MST,25.00,3840,0,3570,275,131.91,0.00
a280,hhi_MST,50.00,3840,0,3842,271,133.76,0.00
a280,hhi_MST,75.00,3840,0,3842,271,133.76,0.00
a280,hhi_MST,100.00,3840,0,3842,271,133.76,0.00
a280,hhi_MST,200.00,3840,0,3306,271,133.26,0.00
xql662,hhi_MST,0.00,3840,0,3359,655,127.74,0.00
xql662,hhi_MST,0.50,3840,0,3578,652,127.50,0.00
xql662,hhi_MST,1.00,3840,0,3498,652,127.27,0.00
xql662,hhi_MST,1.50,3840,0,3558,650,129.26,0.00
