Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_MST,0,3840,0,364,19,122.70,0.00
a20,hhi_MST,0.50,3840,0,360,19,134.62,0.00
a20,hhi_MST,1.00,3840,0,360,19,134.62,0.00
a20,hhi_MST,1.50,3840,0,360,19,134.62,0.00
a20,hhi_MST,2.00,3840,0,360,19,134.62,0.00
a20,hhi_MST,2.50,3840,0,360,19,134.62,0.00
a20,hhi_MST,3.00,3840,0,360,19,134.62,0.00
a20,hhi_MST,3.50,3840,0,360,19,134.62,0.00
a20,hhi_MST,4.00,3840,0,360,19,134.62,0.00
a20,hhi_MST,4.50,3840,0,360,19,134.62,0.00
a20,hhi_MST,5.00,3840,0,360,19,134.62,0.00
a20,hhi_MST,7.00,3840,0,360,19,134.62,0.00
a20,hhi_MST,10.00,3840,0,355,19,135.26,0.00
a20,hhi_MST,25.00,3840,0,344,19,149.14,0.00
a20,hhi_MST,50.00,3840,0,344,19,149.14,0.00
a20,hhi_MST,75.00,3968,0,341,18,154.47,0.00
a20,hhi_MST,100.00,3968,0,341,18,154.47,0.00
a20,hhi_MST,200.00,3968,0,341,18,154.47,0.00
a280,hhi_MST,0.00,3968,2,3280,272,138.08,0.00
a280,hhi_MST,0.50,3968,3,3255,274,135.68,0.00
a280,hhi_MST,1.00,3968,3,3255,274,135.68,0.00
a280,hhi_MST,1.50,3968,2,3255,274,135.68,0.00
a280,hhi_MST,2.00,3968,3,3255,274,135.68,0.00
a280,hhi_MST,2.50,3968,3,3255,274,135.68,0.00
a280,hhi_MST,3.00,3968,2,3255,274,135.68,0.00
a280,hhi_MST,3.50,3968,3,3255,274,135.68,0.00
a280,hhi_MST,4.00,3968,3,3255,274,135.68,0.00
a280,hhi_MST,4.50,3968,2,3255,274,135.68,0.00
a280,hhi_MST,5.00,3968,3,3255,274,135.68,0.00
a280,hhi_MST,7.00,3968,3,3255,274,135.68,0.00
a280,hhi_MST,10.00,3968,2,3255,274,135.68,0.00
a280,hhi_MST,25.00,3968,3,3246,274,135.63,0.00
a280,hhi_MST,50.00,3968,2,3241,273,134.78,0.00
a280,hhi_MST,75.00,3968,2,3241,273,134.78,0.00
a280,hhi_MST,100.00,3968,3,3316,276,142.47,0.00
a280,hhi_MST,200.00,3968,2,3271,276,143.03,0.00
xql662,hhi_MST,0.00,3968,5,3153,648,132.09,0.00
xql662,hhi_MST,0.50,3968,6,3204,656,133.82,0.00
xql662,hhi_MST,1.00,3968,5,3135,652,134.27,0.00
xql662,hhi_MST,1.50,3968,6,3202,654,132.45,0.00
xql662,hhi_MST,2.00,3968,5,3210,652,132.39,0.00
xql662,hhi_MST,2.50,3968,7,3179,654,132.56,0.00
xql662,hhi_MST,3.00,3968,6,3188,655,131.92,0.00
xql662,hhi_MST,3.50,3968,5,3243,652,132.42,0.00
xql662,hhi_MST,4.00,3968,5,3282,655,131.96,0.00
xql662,hhi_MST,4.50,3968,5,3328,657,134.54,0.00
xql662,hhi_MST,5.00,3968,6,3300,658,136.06,0.00
xql662,hhi_MST,7.00,3968,6,3260,656,135.18,0.00
xql662,hhi_MST,10.00,3968,6,3204,656,137.84,0.00
xql662,hhi_MST,25.00,3968,6,3431,659,135.99,0.00
xql662,hhi_MST,50.00,3968,7,3465,659,135.72,0.00
xql662,hhi_MST,75.00,3968,7,3471,657,138.56,0.00
xql662,hhi_MST,100.00,3968,6,3533,653,136.85,0.00
xql662,hhi_MST,200.00,3968,7,3716,660,137.46,0.00
kz9976,hhi_MST,0.00,4480,63,1492075,9956,114.07,0.00
kz9976,hhi_MST,0.50,4480,63,1478996,9940,114.26,0.00
kz9976,hhi_MST,1.00,4480,68,1481275,9940,114.25,0.00
kz9976,hhi_MST,1.50,4480,62,1481906,9939,114.41,0.00
kz9976,hhi_MST,2.00,4480,69,1484800,9943,114.53,0.00
kz9976,hhi_MST,2.50,4480,71,1482638,9940,114.47,0.00
kz9976,hhi_MST,3.00,4480,72,1479161,9945,114.45,0.00
kz9976,hhi_MST,3.50,4480,69,1485649,9947,114.71,0.00
kz9976,hhi_MST,4.00,4480,74,1485387,9948,114.76,0.00
kz9976,hhi_MST,4.50,4480,77,1485206,9947,114.69,0.00
kz9976,hhi_MST,5.00,4480,72,1485564,9947,114.75,0.00
kz9976,hhi_MST,7.00,4480,71,1484587,9948,114.61,0.00
kz9976,hhi_MST,10.00,4480,66,1493068,9943,115.39,0.00
kz9976,hhi_MST,25.00,4480,63,1485986,9949,115.67,0.00
kz9976,hhi_MST,50.00,4480,56,1480986,9958,116.15,0.00
kz9976,hhi_MST,75.00,4480,55,1509722,9941,117.10,0.00
kz9976,hhi_MST,100.00,4480,76,1507393,9948,118.22,0.00
kz9976,hhi_MST,200.00,4480,69,1509742,9955,119.95,0.00
ei8246,hhi_MST,0.00,4480,76,265947,8232,117.01,0.00
ei8246,hhi_MST,0.50,4480,73,267509,8238,116.46,0.00
ei8246,hhi_MST,1.00,4480,77,264593,8229,116.71,0.00
ei8246,hhi_MST,1.50,4480,73,265983,8235,116.76,0.00
ei8246,hhi_MST,2.00,4480,73,266758,8228,117.12,0.00
ei8246,hhi_MST,2.50,4480,76,266411,8236,117.00,0.00
ei8246,hhi_MST,3.00,4480,80,266416,8235,117.39,0.00
ei8246,hhi_MST,3.50,4480,78,267612,8235,117.75,0.00
ei8246,hhi_MST,4.00,4480,76,266777,8234,117.85,0.00
ei8246,hhi_MST,4.50,4480,78,266500,8235,118.12,0.00
ei8246,hhi_MST,5.00,4480,78,267444,8232,117.84,0.00
ei8246,hhi_MST,7.00,4480,73,267611,8230,118.51,0.00
ei8246,hhi_MST,10.00,4480,76,267969,8239,119.19,0.00
ei8246,hhi_MST,25.00,4480,89,272758,8239,121.66,0.00
ei8246,hhi_MST,50.00,4480,72,277489,8237,123.71,0.00
ei8246,hhi_MST,75.00,4480,74,281597,8239,124.37,0.00
ei8246,hhi_MST,100.00,4480,75,283555,8240,125.94,0.00
ei8246,hhi_MST,200.00,4480,74,288725,8244,127.79,0.00
vm22775,hhi_MST,0.00,4960,107,841365,22360,114.28,0.00
vm22775,hhi_MST,0.50,4960,115,848009,22416,117.04,0.00
vm22775,hhi_MST,1.00,4960,120,842368,22391,116.94,0.00
vm22775,hhi_MST,1.50,4960,116,841960,22389,116.92,0.00
vm22775,hhi_MST,2.00,4960,117,847132,22420,117.14,0.00
vm22775,hhi_MST,2.50,4960,124,844959,22443,116.94,0.00
vm22775,hhi_MST,3.00,4960,139,847535,22396,116.78,0.00
vm22775,hhi_MST,3.50,4960,206,849658,22387,116.94,0.00
vm22775,hhi_MST,4.00,4960,194,845622,22455,117.28,0.00
vm22775,hhi_MST,4.50,4960,184,845007,22418,117.65,0.00
vm22775,hhi_MST,5.00,4960,135,849131,22444,117.47,0.00
vm22775,hhi_MST,7.00,4960,133,833330,22419,117.49,0.00
vm22775,hhi_MST,10.00,4960,116,852233,22445,118.12,0.00
vm22775,hhi_MST,25.00,4960,117,846858,22489,119.74,0.00
vm22775,hhi_MST,50.00,4960,112,873859,22553,120.99,0.00
vm22775,hhi_MST,75.00,4960,111,873257,22573,121.60,0.00
vm22775,hhi_MST,100.00,4960,124,889627,22603,122.23,0.00
vm22775,hhi_MST,200.00,4960,113,906172,22598,121.99,0.00
ja9847,hhi_MST,0.00,4960,42,770616,9769,114.42,0.00
ja9847,hhi_MST,0.50,4960,44,776153,9777,114.80,0.00
ja9847,hhi_MST,1.00,4960,38,778935,9765,114.85,0.00
ja9847,hhi_MST,1.50,4960,45,777095,9765,115.29,0.00
ja9847,hhi_MST,2.00,4960,40,779336,9763,115.10,0.00
ja9847,hhi_MST,2.50,4960,40,783807,9771,115.80,0.00
ja9847,hhi_MST,3.00,4960,40,778425,9766,114.96,0.00
ja9847,hhi_MST,3.50,4960,45,778469,9768,115.01,0.00
ja9847,hhi_MST,4.00,4960,38,777027,9770,115.22,0.00
ja9847,hhi_MST,4.50,4960,44,773551,9746,115.91,0.00
ja9847,hhi_MST,5.00,4960,40,773742,9753,115.86,0.00
ja9847,hhi_MST,7.00,4960,38,783219,9775,115.86,0.00
ja9847,hhi_MST,10.00,4960,39,786238,9772,116.83,0.00
ja9847,hhi_MST,25.00,4960,41,781388,9780,118.17,0.00
ja9847,hhi_MST,50.00,4960,43,784267,9802,119.97,0.00
ja9847,hhi_MST,75.00,4960,40,790751,9805,120.48,0.00
ja9847,hhi_MST,100.00,4960,43,811648,9802,121.25,0.00
ja9847,hhi_MST,200.00,4960,40,829857,9808,122.93,0.00
mona-lisa100K,hhi_MST,0.00,9396,1325,6899298,99962,119.02,0.00
mona-lisa100K,hhi_MST,0.50,9780,1350,6881207,99958,118.93,0.00
mona-lisa100K,hhi_MST,1.00,9780,1283,6878754,99970,118.95,0.00
mona-lisa100K,hhi_MST,1.50,9780,1299,6873352,99954,119.11,0.00
mona-lisa100K,hhi_MST,2.00,9780,1450,6894925,99954,119.31,0.00
mona-lisa100K,hhi_MST,2.50,9780,1292,6864390,99979,119.39,0.00
mona-lisa100K,hhi_MST,3.00,9780,1361,6889138,99948,119.50,0.00
mona-lisa100K,hhi_MST,3.50,9780,1329,6891787,99962,119.52,0.00
mona-lisa100K,hhi_MST,4.00,9780,1431,6895864,99958,119.40,0.00
mona-lisa100K,hhi_MST,4.50,9780,1363,6901838,99960,119.42,0.00
mona-lisa100K,hhi_MST,5.00,9780,1300,6913613,99963,119.70,0.00
mona-lisa100K,hhi_MST,7.00,9780,1330,6896549,99960,120.10,0.00
mona-lisa100K,hhi_MST,10.00,9780,1273,6922385,99962,120.50,0.00
mona-lisa100K,hhi_MST,25.00,9780,1454,6922016,99957,121.96,0.00
mona-lisa100K,hhi_MST,50.00,9780,1358,6925134,99969,123.45,0.00
mona-lisa100K,hhi_MST,75.00,9780,1241,6957356,99968,124.75,0.00
mona-lisa100K,hhi_MST,100.00,9780,1413,6982349,99966,125.59,0.00
mona-lisa100K,hhi_MST,200.00,9780,1363,7037298,99973,127.59,0.00
