Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_MST,0,3712,0,370,19,113.22,0.00
a20,hhi_MST,0.50,3712,0,370,19,113.22,0.00
a20,hhi_MST,1.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,1.50,3712,0,370,19,113.22,0.00
a20,hhi_MST,2.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,2.50,3712,0,370,19,113.22,0.00
a20,hhi_MST,3.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,3.50,3712,0,370,19,113.22,0.00
a20,hhi_MST,4.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,4.50,3712,0,370,19,113.22,0.00
a20,hhi_MST,5.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,7.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,10.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,25.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,50.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,75.00,3712,0,365,18,128.79,0.00
a20,hhi_MST,100.00,3712,0,365,18,128.79,0.00
a20,hhi_MST,200.00,3712,0,415,18,114.51,0.00
a280,hhi_MST,0.00,3712,0,3594,275,138.02,0.00
a280,hhi_MST,0.50,3712,0,3594,275,137.76,0.00
a280,hhi_MST,1.00,3712,0,3594,275,137.76,0.00
a280,hhi_MST,1.50,3712,0,3594,275,137.76,0.00
a280,hhi_MST,2.00,3712,0,3594,275,137.76,0.00
a280,hhi_MST,2.50,3712,0,3594,275,137.76,0.00
a280,hhi_MST,3.00,3712,0,3594,275,137.76,0.00
a280,hhi_MST,3.50,3712,0,3594,275,137.76,0.00
a280,hhi_MST,4.00,3712,0,3594,275,137.76,0.00
a280,hhi_MST,4.50,3712,0,3594,275,137.76,0.00
a280,hhi_MST,5.00,3712,0,3594,275,137.76,0.00
a280,hhi_MST,7.00,3712,0,3594,275,137.76,0.00
a280,hhi_MST,10.00,3712,0,3594,275,137.76,0.00
a280,hhi_MST,25.00,3712,0,3535,276,137.49,0.00
a280,hhi_MST,50.00,3712,0,3554,275,140.57,0.00
a280,hhi_MST,75.00,3712,0,3554,275,140.57,0.00
a280,hhi_MST,100.00,3712,0,3554,275,140.57,0.00
a280,hhi_MST,200.00,3712,0,3569,275,138.40,0.00
xql662,hhi_MST,0.00,3712,1,3349,652,129.90,0.00
xql662,hhi_MST,0.50,3712,0,3310,650,133.19,0.00
xql662,hhi_MST,1.00,3712,0,3244,651,132.53,0.00
xql662,hhi_MST,1.50,3712,0,3422,651,132.72,0.00
xql662,hhi_MST,2.00,3712,0,3326,654,131.05,0.00
xql662,hhi_MST,2.50,3712,0,3549,657,131.55,0.00
xql662,hhi_MST,3.00,3712,1,3474,657,131.42,0.00
