Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_MST,0,3584,0,370,19,113.22,0.00
a20,hhi_MST,0.50,3712,0,370,19,113.22,0.00
a20,hhi_MST,1.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,1.50,3712,0,370,19,113.22,0.00
a20,hhi_MST,2.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,2.50,3712,0,370,19,113.22,0.00
a20,hhi_MST,3.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,3.50,3712,0,370,19,113.22,0.00
a20,hhi_MST,4.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,4.50,3712,0,370,19,113.22,0.00
a20,hhi_MST,5.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,7.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,10.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,25.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,50.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,75.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,100.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,200.00,3712,0,362,19,128.43,0.00
a280,hhi_MST,0.00,3712,0,3593,275,138.06,0.00
a280,hhi_MST,0.50,3712,0,3593,275,137.79,0.00
a280,hhi_MST,1.00,3712,0,3593,275,137.79,0.00
a280,hhi_MST,1.50,3712,0,3593,275,137.79,0.00
a280,hhi_MST,2.00,3712,0,3593,275,137.79,0.00
a280,hhi_MST,2.50,3712,0,3593,275,137.79,0.00
a280,hhi_MST,3.00,3712,0,3593,275,137.79,0.00
a280,hhi_MST,3.50,3712,0,3593,275,137.79,0.00
a280,hhi_MST,4.00,3712,0,3593,275,137.79,0.00
a280,hhi_MST,4.50,3712,0,3593,275,137.79,0.00
a280,hhi_MST,5.00,3712,0,3593,275,137.79,0.00
a280,hhi_MST,7.00,3712,0,3593,275,137.79,0.00
a280,hhi_MST,10.00,3712,0,3593,275,137.79,0.00
