Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_MST,0,3712,0,370,19,113.22,0.00
a20,hhi_MST,0.50,3840,0,370,19,113.22,0.00
a20,hhi_MST,1.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,1.50,3840,0,370,19,113.22,0.00
a20,hhi_MST,2.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,2.50,3840,0,370,19,113.22,0.00
a20,hhi_MST,3.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,3.50,3840,0,370,19,113.22,0.00
a20,hhi_MST,4.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,4.50,3840,0,370,19,113.22,0.00
a20,hhi_MST,5.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,7.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,10.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,25.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,50.00,3840,0,362,19,126.75,0.00
a20,hhi_MST,75.00,3840,0,412,18,119.51,0.00
a20,hhi_MST,100.00,3840,0,412,18,119.51,0.00
a20,hhi_MST,200.00,3840,0,412,18,119.51,0.00
a280,hhi_MST,0.00,3840,0,3753,271,132.94,0.00
a280,hhi_MST,0.50,3840,0,3847,271,133.10,0.00
a280,hhi_MST,1.00,3840,0,3847,271,133.10,0.00
a280,hhi_MST,1.50,3840,0,3847,271,133.10,0.00
a280,hhi_MST,2.00,3840,0,3847,271,133.10,0.00
a280,hhi_MST,2.50,3840,0,3847,271,133.10,0.00
a280,hhi_MST,3.00,3840,0,3847,271,133.10,0.00
a280,hhi_MST,3.50,3840,0,3847,271,133.10,0.00
a280,hhi_MST,4.00,3840,0,3847,271,133.10,0.00
a280,hhi_MST,4.50,3840,0,3847,271,133.10,0.00
a280,hhi_MST,5.00,3840,0,3847,271,133.10,0.00
a280,hhi_MST,7.00,3840,0,3847,271,133.10,0.00
a280,hhi_MST,10.00,3840,0,3847,271,133.10,0.00
a280,hhi_MST,25.00,3840,0,3555,275,132.16,0.00
a280,hhi_MST,50.00,3840,0,3841,271,133.56,0.00
a280,hhi_MST,75.00,3840,0,3841,271,133.56,0.00
a280,hhi_MST,100.00,3840,0,3841,271,133.56,0.00
a280,hhi_MST,200.00,3840,0,3291,271,133.51,0.00
xql662,hhi_MST,0.00,3840,0,3341,655,127.74,0.00
xql662,hhi_MST,0.50,3840,0,3580,652,127.39,0.00
xql662,hhi_MST,1.00,3840,0,3504,651,127.27,0.00
xql662,hhi_MST,1.50,3840,0,3525,650,129.37,0.00
