Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_MST,0,3712,0,364,19,122.70,0.00
a20,hhi_MST,0.50,3840,0,356,19,136.23,0.00
a20,hhi_MST,1.00,3840,0,356,19,136.23,0.00
a20,hhi_MST,1.50,3840,0,356,19,136.23,0.00
a20,hhi_MST,2.00,3840,0,356,19,136.23,0.00
a20,hhi_MST,2.50,3840,0,356,19,136.23,0.00
a20,hhi_MST,3.00,3840,0,356,19,136.23,0.00
a20,hhi_MST,3.50,3840,0,356,19,136.23,0.00
a20,hhi_MST,4.00,3840,0,356,19,136.23,0.00
a20,hhi_MST,4.50,3840,0,356,19,136.23,0.00
a20,hhi_MST,5.00,3840,0,356,19,136.23,0.00
a20,hhi_MST,7.00,3840,0,356,19,136.23,0.00
a20,hhi_MST,10.00,3840,0,352,19,132.34,0.00
a20,hhi_MST,25.00,3840,0,341,19,146.55,0.00
a20,hhi_MST,50.00,3840,0,341,19,146.55,0.00
a20,hhi_MST,75.00,3840,0,338,18,151.39,0.00
a20,hhi_MST,100.00,3840,0,338,18,151.39,0.00
a20,hhi_MST,200.00,3840,0,338,18,151.39,0.00
a280,hhi_MST,0.00,3840,3,3282,272,137.60,0.00
a280,hhi_MST,0.50,3840,3,3251,274,135.65,0.00
a280,hhi_MST,1.00,3840,3,3251,274,135.65,0.00
a280,hhi_MST,1.50,3840,3,3251,274,135.65,0.00
a280,hhi_MST,2.00,3840,3,3251,274,135.65,0.00
a280,hhi_MST,2.50,3840,3,3251,274,135.65,0.00
a280,hhi_MST,3.00,3840,3,3251,274,135.65,0.00
a280,hhi_MST,3.50,3840,4,3251,274,135.65,0.00
a280,hhi_MST,4.00,3840,3,3251,274,135.65,0.00
a280,hhi_MST,4.50,3840,3,3251,274,135.65,0.00
a280,hhi_MST,5.00,3840,3,3251,274,135.65,0.00
a280,hhi_MST,7.00,3840,3,3251,274,135.65,0.00
a280,hhi_MST,10.00,3840,2,3251,274,135.65,0.00
a280,hhi_MST,25.00,3840,3,3242,274,135.86,0.00
a280,hhi_MST,50.00,3840,3,3257,273,134.76,0.00
a280,hhi_MST,75.00,3840,3,3257,273,134.76,0.00
a280,hhi_MST,100.00,3840,3,3323,276,141.90,0.00
a280,hhi_MST,200.00,3840,2,3278,276,142.46,0.00
xql662,hhi_MST,0.00,3840,6,3160,648,132.17,0.00
xql662,hhi_MST,0.50,3840,8,3202,656,133.93,0.00
xql662,hhi_MST,1.00,3840,6,3127,652,134.21,0.00
xql662,hhi_MST,1.50,3840,7,3201,654,132.40,0.00
xql662,hhi_MST,2.00,3840,8,3209,652,132.34,0.00
xql662,hhi_MST,2.50,3840,6,3178,654,132.50,0.00
xql662,hhi_MST,3.00,3840,6,3187,655,131.87,0.00
xql662,hhi_MST,3.50,3840,7,3242,652,132.41,0.00
xql662,hhi_MST,4.00,3840,6,3279,655,132.26,0.00
xql662,hhi_MST,4.50,3840,7,3324,657,134.73,0.00
xql662,hhi_MST,5.00,3840,9,3302,658,136.07,0.00
xql662,hhi_MST,7.00,3840,6,3252,656,135.22,0.00
xql662,hhi_MST,10.00,3840,8,3205,656,137.85,0.00
xql662,hhi_MST,25.00,3840,10,3434,659,136.28,0.00
xql662,hhi_MST,50.00,3840,6,3466,659,135.72,0.00
xql662,hhi_MST,75.00,3840,8,3472,657,138.56,0.00
xql662,hhi_MST,100.00,3840,5,3534,654,136.81,0.00
xql662,hhi_MST,200.00,3840,7,3717,660,137.46,0.00
kz9976,hhi_MST,0.00,4224,73,1492736,9956,114.07,0.00
kz9976,hhi_MST,0.50,4224,65,1478847,9940,114.28,0.00
kz9976,hhi_MST,1.00,4224,70,1481126,9940,114.27,0.00
kz9976,hhi_MST,1.50,4224,69,1481757,9939,114.43,0.00
kz9976,hhi_MST,2.00,4224,67,1484651,9943,114.54,0.00
kz9976,hhi_MST,2.50,4224,64,1482489,9940,114.49,0.00
kz9976,hhi_MST,3.00,4224,61,1479012,9945,114.47,0.00
kz9976,hhi_MST,3.50,4224,59,1485500,9947,114.73,0.00
kz9976,hhi_MST,4.00,4224,66,1485238,9948,114.78,0.00
kz9976,hhi_MST,4.50,4224,64,1485057,9947,114.71,0.00
kz9976,hhi_MST,5.00,4224,65,1485415,9947,114.77,0.00
kz9976,hhi_MST,7.00,4224,61,1484438,9948,114.63,0.00
kz9976,hhi_MST,10.00,4224,59,1493082,9943,115.38,0.00
kz9976,hhi_MST,25.00,4224,56,1484159,9949,115.67,0.00
kz9976,hhi_MST,50.00,4224,55,1481026,9958,116.14,0.00
kz9976,hhi_MST,75.00,4224,57,1509916,9941,117.11,0.00
kz9976,hhi_MST,100.00,4224,62,1507344,9948,118.22,0.00
kz9976,hhi_MST,200.00,4224,57,1509748,9955,119.94,0.00
ei8246,hhi_MST,0.00,4224,80,265936,8232,117.00,0.00
ei8246,hhi_MST,0.50,4224,74,267495,8238,116.47,0.00
ei8246,hhi_MST,1.00,4224,75,264589,8229,116.72,0.00
ei8246,hhi_MST,1.50,4224,83,265972,8235,116.76,0.00
ei8246,hhi_MST,2.00,4224,78,266754,8228,117.12,0.00
ei8246,hhi_MST,2.50,4224,74,266400,8236,116.99,0.00
ei8246,hhi_MST,3.00,4224,78,266405,8235,117.39,0.00
ei8246,hhi_MST,3.50,4224,77,267601,8235,117.74,0.00
ei8246,hhi_MST,4.00,4224,83,266802,8234,117.86,0.00
ei8246,hhi_MST,4.50,4224,76,266525,8235,118.13,0.00
ei8246,hhi_MST,5.00,4224,79,267469,8232,117.86,0.00
ei8246,hhi_MST,7.00,4224,74,267586,8230,118.51,0.00
ei8246,hhi_MST,10.00,4224,77,267736,8239,119.20,0.00
ei8246,hhi_MST,25.00,4224,92,272783,8239,121.67,0.00
ei8246,hhi_MST,50.00,4224,76,277514,8237,123.73,0.00
ei8246,hhi_MST,75.00,4224,85,281544,8239,124.38,0.00
ei8246,hhi_MST,100.00,4224,82,283523,8240,125.95,0.00
ei8246,hhi_MST,200.00,4224,88,288766,8244,127.81,0.00
vm22775,hhi_MST,0.00,4748,138,841369,22360,114.28,0.00
vm22775,hhi_MST,0.50,4748,120,848013,22416,117.04,0.00
vm22775,hhi_MST,1.00,4748,127,842332,22391,116.95,0.00
vm22775,hhi_MST,1.50,4748,124,841917,22389,116.91,0.00
vm22775,hhi_MST,2.00,4748,115,847136,22420,117.15,0.00
vm22775,hhi_MST,2.50,4748,110,844923,22443,116.94,0.00
vm22775,hhi_MST,3.00,4748,118,847500,22396,116.78,0.00
vm22775,hhi_MST,3.50,4748,108,849623,22387,116.93,0.00
vm22775,hhi_MST,4.00,4748,104,845586,22455,117.29,0.00
vm22775,hhi_MST,4.50,4748,112,845011,22418,117.66,0.00
vm22775,hhi_MST,5.00,4748,118,849095,22444,117.48,0.00
vm22775,hhi_MST,7.00,4748,131,833372,22419,117.50,0.00
vm22775,hhi_MST,10.00,4748,115,852197,22445,118.12,0.00
vm22775,hhi_MST,25.00,4748,110,846822,22489,119.75,0.00
vm22775,hhi_MST,50.00,4748,122,873901,22553,121.00,0.00
vm22775,hhi_MST,75.00,4748,110,873229,22573,121.61,0.00
vm22775,hhi_MST,100.00,4844,115,889599,22603,122.24,0.00
vm22775,hhi_MST,200.00,4844,107,906144,22598,122.00,0.00
