Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_MST,0,3712,0,370,19,113.22,0.00
a20,hhi_MST,0.50,3712,0,370,19,113.22,0.00
a20,hhi_MST,1.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,3.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,5.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,7.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,10.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,25.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,50.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,75.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,100.00,3712,0,370,19,113.22,0.00
a20,hhi_MST,200.00,3712,0,362,19,128.43,0.00
a280,hhi_MST,0.00,3712,0,3753,271,132.94,0.00
a280,hhi_MST,0.50,3712,0,3847,271,133.10,0.00
a280,hhi_MST,1.00,3712,0,3847,271,133.10,0.00
a280,hhi_MST,3.00,3712,0,3847,271,133.10,0.00
a280,hhi_MST,5.00,3712,0,3847,271,133.10,0.00
a280,hhi_MST,7.00,3712,0,3847,271,133.10,0.00
a280,hhi_MST,10.00,3712,0,3847,271,133.10,0.00
a280,hhi_MST,25.00,3712,0,3847,271,133.10,0.00
a280,hhi_MST,50.00,3712,0,3847,271,133.10,0.00
a280,hhi_MST,75.00,3712,0,3555,275,132.16,0.00
a280,hhi_MST,100.00,3712,0,3555,275,132.16,0.00
a280,hhi_MST,200.00,3712,0,3555,275,132.16,0.00
xql662,hhi_MST,0.00,3712,0,3341,655,127.74,0.00
xql662,hhi_MST,0.50,3712,0,3651,656,126.47,0.00
xql662,hhi_MST,1.00,3712,0,3548,647,126.35,0.00
xql662,hhi_MST,3.00,3712,0,3441,649,127.60,0.00
xql662,hhi_MST,5.00,3712,0,3446,650,127.64,0.00
xql662,hhi_MST,7.00,3712,0,3443,652,127.95,0.00
xql662,hhi_MST,10.00,3712,0,3516,653,128.77,0.00
xql662,hhi_MST,25.00,3712,0,3504,656,129.00,0.00
xql662,hhi_MST,50.00,3712,0,3716,658,129.67,0.00
xql662,hhi_MST,75.00,3712,0,3522,659,131.31,0.00
xql662,hhi_MST,100.00,3712,0,3793,659,130.12,0.00
xql662,hhi_MST,200.00,3712,0,3772,661,131.17,0.00
kz9976,hhi_MST,0.00,3968,10,1548622,9954,114.56,0.00
kz9976,hhi_MST,0.50,3968,9,1550441,9955,114.48,0.00
kz9976,hhi_MST,1.00,3968,10,1559137,9954,114.50,0.00
kz9976,hhi_MST,3.00,3968,9,1558906,9954,114.51,0.00
kz9976,hhi_MST,5.00,3968,9,1555642,9955,114.48,0.00
kz9976,hhi_MST,7.00,3968,8,1555796,9955,114.48,0.00
