dataset,Algorithm,lambda,MemoryKB,TimeMS,tour_length,Bends,AvgBendAngle,Accuracy%,accuracy,source_file
a20,hhi_greedy_2opt_adapK_9CellMean,50,7736,0,365,18,128.79,0,1.01369863,experiment_summary_hhi_greedy_2opt_adapK_9CellMean.csv
a280,hhi_greedy_2opt_adapK_9CellMean,25,7736,0,3356,273,133.66,0,0.22079857,experiment_summary_hhi_greedy_2opt_adapK_9CellMean.csv
ei8246,hhi_greedy_2opt_adapK_9CellMean,0,7736,9,278837,8229,114.75,0,0.739396135,experiment_summary_hhi_greedy_2opt_adapK_9CellMean.csv
ja9847,hhi_greedy_2opt_adapK_9CellMean,5,7736,6,806466,9771,115.68,0,0.609974878,experiment_summary_hhi_greedy_2opt_adapK_9CellMean.csv
kz9976,hhi_greedy_2opt_adapK_9CellMean,25,7736,6,1660714,9946,113.14,0,0.639412927,experiment_summary_hhi_greedy_2opt_adapK_9CellMean.csv
mona-lisa100K,hhi_greedy_2opt_adapK_9CellMean,10,7736,228,6971923,99955,117.98,0,0.825768013,experiment_summary_hhi_greedy_2opt_adapK_9CellMean.csv
vm22775,hhi_greedy_2opt_adapK_9CellMean,0,7736,24,885276,22245,115.39,0,0.643062728,experiment_summary_hhi_greedy_2opt_adapK_9CellMean.csv
xql662,hhi_greedy_2opt_adapK_9CellMean,0.5,7736,0,3461,646,129.39,0,0.726090725,experiment_summary_hhi_greedy_2opt_adapK_9CellMean.csv
a20,hhi_greedy_2opt_adapK_multi,75,9688,0,341,18,154.47,0,1.085043988,experiment_summary_hhi_greedy_2opt_adapK_multi.csv
a280,hhi_greedy_2opt_adapK_multi,50,9688,2,3179,273,134.82,0,0.233092167,experiment_summary_hhi_greedy_2opt_adapK_multi.csv
ei8246,hhi_greedy_2opt_adapK_multi,1.5,9688,102,261835,8229,117.24,0,0.787408101,experiment_summary_hhi_greedy_2opt_adapK_multi.csv
ja9847,hhi_greedy_2opt_adapK_multi,0,9688,58,769013,9763,114.35,0,0.639682294,experiment_summary_hhi_greedy_2opt_adapK_multi.csv
kz9976,hhi_greedy_2opt_adapK_multi,1.5,9688,89,1468643,9947,114.71,0,0.723036163,experiment_summary_hhi_greedy_2opt_adapK_multi.csv
mona-lisa100K,hhi_greedy_2opt_adapK_multi,4,9712,2387,6876173,99969,119.82,0,0.837266747,experiment_summary_hhi_greedy_2opt_adapK_multi.csv
vm22775,hhi_greedy_2opt_adapK_multi,3,9688,208,830308,22429,117.45,0,0.685634728,experiment_summary_hhi_greedy_2opt_adapK_multi.csv
xql662,hhi_greedy_2opt_adapK_multi,1,9688,6,3131,655,132.74,0,0.802618972,experiment_summary_hhi_greedy_2opt_adapK_multi.csv
a20,hhi_greedy_2opt_adapK,50,7736,0,365,18,128.79,0,1.01369863,experiment_summary_hhi_greedy_2opt_adapK.csv
a280,hhi_greedy_2opt_adapK,50,7736,0,3179,273,134.82,0,0.233092167,experiment_summary_hhi_greedy_2opt_adapK.csv
ei8246,hhi_greedy_2opt_adapK,3,7736,21,264606,8236,117.8,0,0.779162226,experiment_summary_hhi_greedy_2opt_adapK.csv
ja9847,hhi_greedy_2opt_adapK,1.5,7736,8,778328,9764,115.43,0,0.632026601,experiment_summary_hhi_greedy_2opt_adapK.csv
kz9976,hhi_greedy_2opt_adapK,75,7736,7,1598153,9946,115.4,0,0.664443267,experiment_summary_hhi_greedy_2opt_adapK.csv
mona-lisa100K,hhi_greedy_2opt_adapK,2,7736,337,6886201,99958,119.61,0,0.836047481,experiment_summary_hhi_greedy_2opt_adapK.csv
vm22775,hhi_greedy_2opt_adapK,2.5,7736,28,860043,22364,117.49,0,0.661929694,experiment_summary_hhi_greedy_2opt_adapK.csv
xql662,hhi_greedy_2opt_adapK,2,7736,0,3271,655,135.72,0,0.768266585,experiment_summary_hhi_greedy_2opt_adapK.csv
a20,hhi_greedy_basic_adapK_9CellMean,50,7736,0,362,19,126.75,0,1.022099448,experiment_summary_hhi_greedy_basic_adapK_9CellMean.csv
a280,hhi_greedy_basic_adapK_9CellMean,25,7736,0,3360,273,133.53,0,0.220535714,experiment_summary_hhi_greedy_basic_adapK_9CellMean.csv
ei8246,hhi_greedy_basic_adapK_9CellMean,0,7736,8,278826,8229,114.75,0,0.739425305,experiment_summary_hhi_greedy_basic_adapK_9CellMean.csv
ja9847,hhi_greedy_basic_adapK_9CellMean,5,7736,6,806514,9771,115.69,0,0.609938575,experiment_summary_hhi_greedy_basic_adapK_9CellMean.csv
kz9976,hhi_greedy_basic_adapK_9CellMean,25,7736,6,1660533,9946,113.14,0,0.639482624,experiment_summary_hhi_greedy_basic_adapK_9CellMean.csv
mona-lisa100K,hhi_greedy_basic_adapK_9CellMean,10,7736,240,6969885,99955,117.98,0,0.826009468,experiment_summary_hhi_greedy_basic_adapK_9CellMean.csv
vm22775,hhi_greedy_basic_adapK_9CellMean,0,7736,20,885141,22245,115.4,0,0.643160807,experiment_summary_hhi_greedy_basic_adapK_9CellMean.csv
xql662,hhi_greedy_basic_adapK_9CellMean,0.5,7736,0,3442,646,129.29,0,0.73009878,experiment_summary_hhi_greedy_basic_adapK_9CellMean.csv
a20,hhi_greedy_basic_adapK_multi,75,7736,0,338,18,151.39,0,1.094674556,experiment_summary_hhi_greedy_basic_adapK_multi.csv
a280,hhi_greedy_basic_adapK_multi,50,7736,2,3190,273,135.07,0,0.232288401,experiment_summary_hhi_greedy_basic_adapK_multi.csv
ei8246,hhi_greedy_basic_adapK_multi,1.5,7736,98,261824,8229,117.24,0,0.787441182,experiment_summary_hhi_greedy_basic_adapK_multi.csv
ja9847,hhi_greedy_basic_adapK_multi,0,7736,69,769134,9763,114.34,0,0.639581659,experiment_summary_hhi_greedy_basic_adapK_multi.csv
kz9976,hhi_greedy_basic_adapK_multi,1.5,7736,99,1468627,9947,114.7,0,0.72304404,experiment_summary_hhi_greedy_basic_adapK_multi.csv
mona-lisa100K,hhi_greedy_basic_adapK_multi,4,9688,2280,6876179,99969,119.82,0,0.837266016,experiment_summary_hhi_greedy_basic_adapK_multi.csv
vm22775,hhi_greedy_basic_adapK_multi,3,7736,189,830312,22429,117.46,0,0.685631425,experiment_summary_hhi_greedy_basic_adapK_multi.csv
xql662,hhi_greedy_basic_adapK_multi,1,7736,5,3119,655,132.75,0,0.805706957,experiment_summary_hhi_greedy_basic_adapK_multi.csv
a20,hhi_greedy_2opt_adapK_9CellMean_hull,200,9712,0,365,18,128.79,0,1.01369863,experiment_summary_hhi_greedy_2opt_adapK_9CellMean_hull.csv
a280,hhi_greedy_2opt_adapK_9CellMean_hull,200,9712,0,3345,272,134.47,0,0.221524664,experiment_summary_hhi_greedy_2opt_adapK_9CellMean_hull.csv
ei8246,hhi_greedy_2opt_adapK_9CellMean_hull,0,9712,10,278837,8229,114.75,0,0.739396135,experiment_summary_hhi_greedy_2opt_adapK_9CellMean_hull.csv
ja9847,hhi_greedy_2opt_adapK_9CellMean_hull,5,9712,7,806466,9771,115.68,0,0.609974878,experiment_summary_hhi_greedy_2opt_adapK_9CellMean_hull.csv
kz9976,hhi_greedy_2opt_adapK_9CellMean_hull,25,9712,7,1660714,9946,113.14,0,0.639412927,experiment_summary_hhi_greedy_2opt_adapK_9CellMean_hull.csv
mona-lisa100K,hhi_greedy_2opt_adapK_9CellMean_hull,10,9712,311,6971923,99955,117.98,0,0.825768013,experiment_summary_hhi_greedy_2opt_adapK_9CellMean_hull.csv
vm22775,hhi_greedy_2opt_adapK_9CellMean_hull,0,9712,24,885276,22245,115.39,0,0.643062728,experiment_summary_hhi_greedy_2opt_adapK_9CellMean_hull.csv
xql662,hhi_greedy_2opt_adapK_9CellMean_hull,0.5,9712,0,3461,646,129.39,0,0.726090725,experiment_summary_hhi_greedy_2opt_adapK_9CellMean_hull.csv
a20,hhi_greedy_2opt,50,7168,0,365,18,128.79,0,1.01369863,experiment_summary_hhi_greedy_2opt.csv
a280,hhi_greedy_2opt,0,7168,0,3353,274,134.27,0,0.220996123,experiment_summary_hhi_greedy_2opt.csv
ei8246,hhi_greedy_2opt,2,7168,7,272125,8233,116.02,0,0.757633441,experiment_summary_hhi_greedy_2opt.csv
ja9847,hhi_greedy_2opt,5,7168,10,722158,9794,118.38,0,0.681186112,experiment_summary_hhi_greedy_2opt.csv
kz9976,hhi_greedy_2opt,3,7168,9,1527292,9952,114.55,0,0.695271107,experiment_summary_hhi_greedy_2opt.csv
mona-lisa100K,hhi_greedy_2opt,7,7352,185,6974884,99958,117.6,0,0.825417455,experiment_summary_hhi_greedy_2opt.csv
vm22775,hhi_greedy_2opt,7,7168,20,816219,22478,118.42,0,0.697469674,experiment_summary_hhi_greedy_2opt.csv
xql662,hhi_greedy_2opt,5,7168,0,3312,654,133.04,0,0.758756039,experiment_summary_hhi_greedy_2opt.csv
a20,hhi_greedy_2opt_adapK_hull_multi,75,9712,0,344,19,149.14,0,1.075581395,experiment_summary_hhi_greedy_2opt_adapK_hull_multi.csv
a280,hhi_greedy_2opt_adapK_hull_multi,50,9712,3,3179,273,134.82,0,0.233092167,experiment_summary_hhi_greedy_2opt_adapK_hull_multi.csv
ei8246,hhi_greedy_2opt_adapK_hull_multi,1.5,9712,125,261835,8229,117.24,0,0.787408101,experiment_summary_hhi_greedy_2opt_adapK_hull_multi.csv
ja9847,hhi_greedy_2opt_adapK_hull_multi,0,9712,64,769013,9763,114.35,0,0.639682294,experiment_summary_hhi_greedy_2opt_adapK_hull_multi.csv
kz9976,hhi_greedy_2opt_adapK_hull_multi,1.5,9712,97,1468416,9947,114.72,0,0.723147936,experiment_summary_hhi_greedy_2opt_adapK_hull_multi.csv
mona-lisa100K,hhi_greedy_2opt_adapK_hull_multi,4,9892,2441,6876173,99969,119.82,0,0.837266747,experiment_summary_hhi_greedy_2opt_adapK_hull_multi.csv
vm22775,hhi_greedy_2opt_adapK_hull_multi,3,9712,227,830127,22429,117.45,0,0.685784223,experiment_summary_hhi_greedy_2opt_adapK_hull_multi.csv
xql662,hhi_greedy_2opt_adapK_hull_multi,1,9712,7,3131,655,132.74,0,0.802618972,experiment_summary_hhi_greedy_2opt_adapK_hull_multi.csv
a20,hhi_greedy_2opt_adapK_hull,200,9712,0,362,19,128.43,0,1.022099448,experiment_summary_hhi_greedy_2opt_adapK_hull.csv
a280,hhi_greedy_2opt_adapK_hull,50,9712,0,3179,273,134.82,0,0.233092167,experiment_summary_hhi_greedy_2opt_adapK_hull.csv
ei8246,hhi_greedy_2opt_adapK_hull,3,9712,13,264606,8236,117.8,0,0.779162226,experiment_summary_hhi_greedy_2opt_adapK_hull.csv
ja9847,hhi_greedy_2opt_adapK_hull,1.5,9712,10,778328,9764,115.43,0,0.632026601,experiment_summary_hhi_greedy_2opt_adapK_hull.csv
kz9976,hhi_greedy_2opt_adapK_hull,75,9712,8,1597490,9946,115.36,0,0.664719028,experiment_summary_hhi_greedy_2opt_adapK_hull.csv
mona-lisa100K,hhi_greedy_2opt_adapK_hull,2,9712,371,6886201,99958,119.61,0,0.836047481,experiment_summary_hhi_greedy_2opt_adapK_hull.csv
vm22775,hhi_greedy_2opt_adapK_hull,2.5,9712,28,859980,22364,117.5,0,0.661978186,experiment_summary_hhi_greedy_2opt_adapK_hull.csv
xql662,hhi_greedy_2opt_adapK_hull,2,9712,0,3271,655,135.72,0,0.768266585,experiment_summary_hhi_greedy_2opt_adapK_hull.csv
a20,hhi_greedy_linearPenalty,100,9712,0,362,19,126.75,0,1.022099448,experiment_summary_hhi_greedy_linearPenalty.csv
a280,hhi_greedy_linearPenalty,0,9712,0,3358,274,134.27,0,0.220667064,experiment_summary_hhi_greedy_linearPenalty.csv
ei8246,hhi_greedy_linearPenalty,3,9712,6,271973,8232,115.84,0,0.758056866,experiment_summary_hhi_greedy_linearPenalty.csv
ja9847,hhi_greedy_linearPenalty,7,9712,7,722480,9788,117.29,0,0.680882516,experiment_summary_hhi_greedy_linearPenalty.csv
kz9976,hhi_greedy_linearPenalty,25,9712,7,1523661,9951,115.19,0,0.696927991,experiment_summary_hhi_greedy_linearPenalty.csv
mona-lisa100K,hhi_greedy_linearPenalty,1.5,9712,146,6977546,99952,116.5,0,0.82510255,experiment_summary_hhi_greedy_linearPenalty.csv
vm22775,hhi_greedy_linearPenalty,1,9712,17,813422,22465,117.76,0,0.699867965,experiment_summary_hhi_greedy_linearPenalty.csv
xql662,hhi_greedy_linearPenalty,0,9712,0,3332,651,131.13,0,0.754201681,experiment_summary_hhi_greedy_linearPenalty.csv
a20,hhi_greedy_basic_adapK_hull,200,9712,0,362,19,128.43,0,1.022099448,experiment_summary_hhi_greedy_basic_adapK_hull.csv
a280,hhi_greedy_basic_adapK_hull,50,9712,0,3190,273,135.07,0,0.232288401,experiment_summary_hhi_greedy_basic_adapK_hull.csv
ei8246,hhi_greedy_basic_adapK_hull,3,9712,15,264595,8236,117.79,0,0.779194618,experiment_summary_hhi_greedy_basic_adapK_hull.csv
ja9847,hhi_greedy_basic_adapK_hull,1.5,9712,8,778376,9764,115.43,0,0.631987626,experiment_summary_hhi_greedy_basic_adapK_hull.csv
kz9976,hhi_greedy_basic_adapK_hull,75,9712,8,1597528,9946,115.35,0,0.664703216,experiment_summary_hhi_greedy_basic_adapK_hull.csv
mona-lisa100K,hhi_greedy_basic_adapK_hull,2,9712,382,6886205,99958,119.61,0,0.836046995,experiment_summary_hhi_greedy_basic_adapK_hull.csv
vm22775,hhi_greedy_basic_adapK_hull,2.5,9712,26,859797,22364,117.51,0,0.662119082,experiment_summary_hhi_greedy_basic_adapK_hull.csv
xql662,hhi_greedy_basic_adapK_hull,2,9712,0,3268,655,135.87,0,0.768971848,experiment_summary_hhi_greedy_basic_adapK_hull.csv
a20,hhi_greedy_anglePenalty,100,9712,0,362,19,128.43,0,1.022099448,experiment_summary_hhi_greedy_anglePenalty.csv
a280,hhi_greedy_anglePenalty,0,9712,0,3358,274,134.27,0,0.220667064,experiment_summary_hhi_greedy_anglePenalty.csv
ei8246,hhi_greedy_anglePenalty,0.5,9712,9,272265,8230,115.59,0,0.757243862,experiment_summary_hhi_greedy_anglePenalty.csv
ja9847,hhi_greedy_anglePenalty,10,9712,14,726017,9806,117.57,0,0.677565401,experiment_summary_hhi_greedy_anglePenalty.csv
kz9976,hhi_greedy_anglePenalty,25,9712,12,1527048,9958,114.48,0,0.695382201,experiment_summary_hhi_greedy_anglePenalty.csv
mona-lisa100K,hhi_greedy_anglePenalty,1.5,9712,219,6982458,99963,116.33,0,0.82452211,experiment_summary_hhi_greedy_anglePenalty.csv
vm22775,hhi_greedy_anglePenalty,1,9712,28,813281,22464,117.77,0,0.699989303,experiment_summary_hhi_greedy_anglePenalty.csv
xql662,hhi_greedy_anglePenalty,4,9712,0,3271,655,131.89,0,0.768266585,experiment_summary_hhi_greedy_anglePenalty.csv
a20,hhi_greedy_basic_adapK_9CellMean_hull,200,9712,0,362,19,126.75,0,1.022099448,experiment_summary_hhi_greedy_basic_adapK_9CellMean_hull.csv
a280,hhi_greedy_basic_adapK_9CellMean_hull,200,9712,0,3349,272,134.33,0,0.221260078,experiment_summary_hhi_greedy_basic_adapK_9CellMean_hull.csv
ei8246,hhi_greedy_basic_adapK_9CellMean_hull,0,9712,11,278826,8229,114.75,0,0.739425305,experiment_summary_hhi_greedy_basic_adapK_9CellMean_hull.csv
ja9847,hhi_greedy_basic_adapK_9CellMean_hull,5,9712,7,806514,9771,115.69,0,0.609938575,experiment_summary_hhi_greedy_basic_adapK_9CellMean_hull.csv
kz9976,hhi_greedy_basic_adapK_9CellMean_hull,25,9712,8,1660533,9946,113.14,0,0.639482624,experiment_summary_hhi_greedy_basic_adapK_9CellMean_hull.csv
mona-lisa100K,hhi_greedy_basic_adapK_9CellMean_hull,10,9712,263,6969885,99955,117.98,0,0.826009468,experiment_summary_hhi_greedy_basic_adapK_9CellMean_hull.csv
vm22775,hhi_greedy_basic_adapK_9CellMean_hull,0,9712,23,885141,22245,115.4,0,0.643160807,experiment_summary_hhi_greedy_basic_adapK_9CellMean_hull.csv
xql662,hhi_greedy_basic_adapK_9CellMean_hull,0.5,9712,0,3442,646,129.29,0,0.73009878,experiment_summary_hhi_greedy_basic_adapK_9CellMean_hull.csv
a20,hhi_greedy_basic_adapK,50,7352,0,362,19,126.75,0,1.022099448,experiment_summary_hhi_greedy_basic_adapK.csv
a280,hhi_greedy_basic_adapK,50,7480,0,3190,273,135.07,0,0.232288401,experiment_summary_hhi_greedy_basic_adapK.csv
