Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,MST,0,5944,0,364,19,122.70,0.00
a20,MST,0.50,5944,0,364,19,122.70,0.00
a20,MST,1.00,5944,0,364,19,122.70,0.00
a20,MST,1.50,5944,0,364,19,122.70,0.00
a20,MST,2.00,5944,0,364,19,122.70,0.00
a20,MST,2.50,5944,0,364,19,122.70,0.00
a20,MST,3.00,5944,0,364,19,122.70,0.00
a20,MST,3.50,5944,0,364,19,122.70,0.00
a20,MST,4.00,5944,0,364,19,122.70,0.00
a20,MST,5.00,5944,0,364,19,122.70,0.00
a20,MST,7.00,5944,0,364,19,122.70,0.00
a20,MST,10.00,5944,0,364,19,122.70,0.00
a20,MST,25.00,5944,0,364,19,122.70,0.00
a20,MST,50.00,5944,0,364,19,122.70,0.00
a20,MST,75.00,5944,0,364,19,122.70,0.00
a20,MST,100.00,5944,0,364,19,122.70,0.00
a20,MST,200.00,5944,0,364,19,122.70,0.00
a280,MST,0.00,5944,0,3565,276,136.45,0.00
a280,MST,0.50,5944,0,3565,276,136.45,0.00
a280,MST,1.00,5944,0,3565,276,136.45,0.00
a280,MST,1.50,5944,0,3565,276,136.45,0.00
a280,MST,2.00,5944,0,3565,276,136.45,0.00
a280,MST,2.50,5944,0,3565,276,136.45,0.00
a280,MST,3.00,5944,0,3565,276,136.45,0.00
a280,MST,3.50,5944,0,3565,276,136.45,0.00
a280,MST,4.00,5944,0,3565,276,136.45,0.00
a280,MST,5.00,5944,0,3565,276,136.45,0.00
a280,MST,7.00,5944,0,3565,276,136.45,0.00
a280,MST,10.00,5944,1,3565,276,136.45,0.00
a280,MST,25.00,5944,0,3565,276,136.45,0.00
a280,MST,50.00,5944,0,3565,276,136.45,0.00
a280,MST,75.00,5944,0,3565,276,136.45,0.00
a280,MST,100.00,5944,0,3565,276,136.45,0.00
a280,MST,200.00,5944,0,3565,276,136.45,0.00
xql662,MST,0.00,5944,3,3552,652,128.12,0.00
xql662,MST,0.50,5944,3,3552,652,128.12,0.00
xql662,MST,1.00,5944,3,3552,652,128.12,0.00
xql662,MST,1.50,5944,4,3552,652,128.12,0.00
xql662,MST,2.00,5944,4,3552,652,128.12,0.00
xql662,MST,2.50,5944,3,3552,652,128.12,0.00
xql662,MST,3.00,5944,3,3552,652,128.12,0.00
xql662,MST,3.50,5944,4,3552,652,128.12,0.00
xql662,MST,4.00,5944,4,3552,652,128.12,0.00
xql662,MST,5.00,5944,4,3552,652,128.12,0.00
xql662,MST,7.00,5944,5,3552,652,128.12,0.00
xql662,MST,10.00,5944,4,3552,652,128.12,0.00
xql662,MST,25.00,5944,4,3552,652,128.12,0.00
xql662,MST,50.00,5944,6,3552,652,128.12,0.00
xql662,MST,75.00,5944,4,3552,652,128.12,0.00
xql662,MST,100.00,5944,3,3552,652,128.12,0.00
xql662,MST,200.00,5944,3,3552,652,128.12,0.00
kz9976,MST,0.00,5944,984,1457279,9952,113.80,0.00
kz9976,MST,0.50,5944,944,1457279,9952,113.80,0.00
kz9976,MST,1.00,5944,1027,1457279,9952,113.80,0.00
kz9976,MST,1.50,5944,994,1457279,9952,113.80,0.00
kz9976,MST,2.00,5944,951,1457279,9952,113.80,0.00
kz9976,MST,2.50,5944,1045,1457279,9952,113.80,0.00
kz9976,MST,3.00,5944,1139,1457279,9952,113.80,0.00
kz9976,MST,3.50,5944,1012,1457279,9952,113.80,0.00
kz9976,MST,4.00,5944,925,1457279,9952,113.80,0.00
kz9976,MST,5.00,5944,1023,1457279,9952,113.80,0.00
