Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,greedy,0,3456,0,364,19,122.70,0.00
a20,greedy,0.50,3712,0,364,19,122.70,0.00
a20,greedy,1.00,3712,0,364,19,122.70,0.00
a20,greedy,1.50,3712,0,364,19,122.70,0.00
a20,greedy,2.00,3712,0,364,19,122.70,0.00
a20,greedy,2.50,3712,0,364,19,122.70,0.00
a20,greedy,3.00,3712,0,364,19,122.70,0.00
a20,greedy,3.50,3712,0,364,19,122.70,0.00
a20,greedy,4.00,3712,0,364,19,122.70,0.00
a20,greedy,5.00,3712,0,364,19,122.70,0.00
a20,greedy,7.00,3712,0,364,19,122.70,0.00
a20,greedy,10.00,3712,0,364,19,122.70,0.00
a20,greedy,25.00,3712,0,364,19,122.70,0.00
a20,greedy,50.00,3712,0,364,19,122.70,0.00
a20,greedy,75.00,3712,0,364,19,122.70,0.00
a20,greedy,100.00,3712,0,364,19,122.70,0.00
a20,greedy,200.00,3712,0,364,19,122.70,0.00
a280,greedy,0.00,3712,0,3157,276,145.77,0.00
a280,greedy,0.50,3712,0,3157,276,145.77,0.00
a280,greedy,1.00,3712,0,3157,276,145.77,0.00
a280,greedy,1.50,3712,0,3157,276,145.77,0.00
a280,greedy,2.00,3712,0,3157,276,145.77,0.00
a280,greedy,2.50,3712,0,3157,276,145.77,0.00
a280,greedy,3.00,3712,0,3157,276,145.77,0.00
a280,greedy,3.50,3712,0,3157,276,145.77,0.00
a280,greedy,4.00,3712,0,3157,276,145.77,0.00
a280,greedy,5.00,3712,0,3157,276,145.77,0.00
a280,greedy,7.00,3712,0,3157,276,145.77,0.00
a280,greedy,10.00,3712,0,3157,276,145.77,0.00
a280,greedy,25.00,3712,0,3157,276,145.77,0.00
a280,greedy,50.00,3712,0,3157,276,145.77,0.00
a280,greedy,75.00,3712,0,3157,276,145.77,0.00
a280,greedy,100.00,3712,0,3157,276,145.77,0.00
a280,greedy,200.00,3840,0,3157,276,145.77,0.00
xql662,greedy,0.00,3840,1,3124,654,133.77,0.00
xql662,greedy,0.50,3840,1,3124,654,133.77,0.00
xql662,greedy,1.00,3840,2,3124,654,133.77,0.00
xql662,greedy,1.50,3840,1,3124,654,133.77,0.00
xql662,greedy,2.00,3840,1,3124,654,133.77,0.00
xql662,greedy,2.50,3840,1,3124,654,133.77,0.00
xql662,greedy,3.00,3840,2,3124,654,133.77,0.00
xql662,greedy,3.50,3840,2,3124,654,133.77,0.00
xql662,greedy,4.00,3840,1,3124,654,133.77,0.00
xql662,greedy,5.00,3840,1,3124,654,133.77,0.00
xql662,greedy,7.00,3840,1,3124,654,133.77,0.00
xql662,greedy,10.00,3840,1,3124,654,133.77,0.00
xql662,greedy,25.00,3840,1,3124,654,133.77,0.00
xql662,greedy,50.00,3840,2,3124,654,133.77,0.00
xql662,greedy,75.00,3840,2,3124,654,133.77,0.00
xql662,greedy,100.00,3840,1,3124,654,133.77,0.00
xql662,greedy,200.00,3840,1,3124,654,133.77,0.00
kz9976,greedy,0.00,3968,448,1358249,9965,119.15,0.00
kz9976,greedy,0.50,3968,412,1358249,9965,119.15,0.00
kz9976,greedy,1.00,3968,374,1358249,9965,119.15,0.00
kz9976,greedy,1.50,3968,354,1358249,9965,119.15,0.00
kz9976,greedy,2.00,3968,362,1358249,9965,119.15,0.00
kz9976,greedy,2.50,3968,506,1358249,9965,119.15,0.00
kz9976,greedy,3.00,3968,413,1358249,9965,119.15,0.00
kz9976,greedy,3.50,3968,394,1358249,9965,119.15,0.00
kz9976,greedy,4.00,3968,413,1358249,9965,119.15,0.00
kz9976,greedy,5.00,3968,375,1358249,9965,119.15,0.00
kz9976,greedy,7.00,3968,497,1358249,9965,119.15,0.00
kz9976,greedy,10.00,3968,385,1358249,9965,119.15,0.00
kz9976,greedy,25.00,3968,389,1358249,9965,119.15,0.00
kz9976,greedy,50.00,3968,354,1358249,9965,119.15,0.00
kz9976,greedy,75.00,3968,390,1358249,9965,119.15,0.00
kz9976,greedy,100.00,3968,396,1358249,9965,119.15,0.00
kz9976,greedy,200.00,3968,392,1358249,9965,119.15,0.00
ei8246,greedy,0.00,4052,283,257735,8238,117.94,0.00
ei8246,greedy,0.50,4052,246,257735,8238,117.94,0.00
ei8246,greedy,1.00,4052,242,257735,8238,117.94,0.00
ei8246,greedy,1.50,4052,247,257735,8238,117.94,0.00
ei8246,greedy,2.00,4052,250,257735,8238,117.94,0.00
ei8246,greedy,2.50,4052,250,257735,8238,117.94,0.00
ei8246,greedy,3.00,4052,262,257735,8238,117.94,0.00
ei8246,greedy,3.50,4052,235,257735,8238,117.94,0.00
ei8246,greedy,4.00,4052,261,257735,8238,117.94,0.00
ei8246,greedy,5.00,4052,268,257735,8238,117.94,0.00
ei8246,greedy,7.00,4052,246,257735,8238,117.94,0.00
ei8246,greedy,10.00,4052,249,257735,8238,117.94,0.00
ei8246,greedy,25.00,4052,294,257735,8238,117.94,0.00
ei8246,greedy,50.00,4052,251,257735,8238,117.94,0.00
ei8246,greedy,75.00,4052,249,257735,8238,117.94,0.00
ei8246,greedy,100.00,4052,243,257735,8238,117.94,0.00
ei8246,greedy,200.00,4052,247,257735,8238,117.94,0.00
vm22775,greedy,0.00,4364,2017,707629,22563,120.14,0.00
vm22775,greedy,0.50,4364,2006,707629,22563,120.14,0.00
vm22775,greedy,1.00,4364,1947,707629,22563,120.14,0.00
vm22775,greedy,1.50,4364,1898,707629,22563,120.14,0.00
vm22775,greedy,2.00,4364,1836,707629,22563,120.14,0.00
vm22775,greedy,2.50,4364,1773,707629,22563,120.14,0.00
vm22775,greedy,3.00,4364,1969,707629,22563,120.14,0.00
vm22775,greedy,3.50,4364,1729,707629,22563,120.14,0.00
vm22775,greedy,4.00,4364,2093,707629,22563,120.14,0.00
vm22775,greedy,5.00,4364,2067,707629,22563,120.14,0.00
vm22775,greedy,7.00,4364,2043,707629,22563,120.14,0.00
vm22775,greedy,10.00,4364,2114,707629,22563,120.14,0.00
vm22775,greedy,25.00,4364,2090,707629,22563,120.14,0.00
vm22775,greedy,50.00,4364,1937,707629,22563,120.14,0.00
vm22775,greedy,75.00,4364,1844,707629,22563,120.14,0.00
vm22775,greedy,100.00,4364,1784,707629,22563,120.14,0.00
vm22775,greedy,200.00,4364,1788,707629,22563,120.14,0.00
ja9847,greedy,0.00,4364,369,665821,9801,120.67,0.00
ja9847,greedy,0.50,4364,333,665821,9801,120.67,0.00
ja9847,greedy,1.00,4364,355,665821,9801,120.67,0.00
ja9847,greedy,1.50,4364,381,665821,9801,120.67,0.00
ja9847,greedy,2.00,4364,338,665821,9801,120.67,0.00
ja9847,greedy,2.50,4364,407,665821,9801,120.67,0.00
ja9847,greedy,3.00,4364,391,665821,9801,120.67,0.00
ja9847,greedy,3.50,4364,351,665821,9801,120.67,0.00
ja9847,greedy,4.00,4364,337,665821,9801,120.67,0.00
ja9847,greedy,5.00,4364,361,665821,9801,120.67,0.00
ja9847,greedy,7.00,4364,323,665821,9801,120.67,0.00
ja9847,greedy,10.00,4364,312,665821,9801,120.67,0.00
ja9847,greedy,25.00,4364,362,665821,9801,120.67,0.00
