Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_greedy,0,3584,0,370,19,113.22,0.00
a20,hhi_greedy,0.50,3712,0,370,19,113.22,0.00
a20,hhi_greedy,1.00,3712,0,370,19,113.22,0.00
a20,hhi_greedy,1.50,3712,0,370,19,113.22,0.00
a20,hhi_greedy,2.00,3712,0,370,19,113.22,0.00
a20,hhi_greedy,2.50,3712,0,370,19,113.22,0.00
a20,hhi_greedy,3.00,3712,0,370,19,113.22,0.00
a20,hhi_greedy,3.50,3712,0,370,19,113.22,0.00
a20,hhi_greedy,4.00,3712,0,370,19,113.22,0.00
a20,hhi_greedy,5.00,3712,0,370,19,113.22,0.00
a20,hhi_greedy,7.00,3712,0,370,19,113.22,0.00
a20,hhi_greedy,10.00,3712,0,370,19,113.22,0.00
a20,hhi_greedy,25.00,3712,0,370,19,113.22,0.00
a20,hhi_greedy,50.00,3712,0,362,19,126.75,0.00
a20,hhi_greedy,75.00,3712,0,412,18,119.51,0.00
a20,hhi_greedy,100.00,3712,0,412,18,119.51,0.00
a20,hhi_greedy,200.00,3712,0,412,18,119.51,0.00
a280,hhi_greedy,0.00,3712,0,3358,274,134.27,0.00
a280,hhi_greedy,0.50,3712,0,3358,274,134.27,0.00
a280,hhi_greedy,1.00,3712,0,3358,274,134.27,0.00
a280,hhi_greedy,1.50,3712,0,3358,274,134.27,0.00
a280,hhi_greedy,2.00,3712,0,3358,274,134.27,0.00
a280,hhi_greedy,2.50,3712,0,3358,274,134.27,0.00
a280,hhi_greedy,3.00,3712,0,3358,274,134.27,0.00
a280,hhi_greedy,3.50,3712,0,3358,274,134.27,0.00
a280,hhi_greedy,4.00,3712,0,3358,274,134.27,0.00
a280,hhi_greedy,5.00,3712,0,3358,274,134.27,0.00
a280,hhi_greedy,7.00,3712,0,3377,274,136.04,0.00
a280,hhi_greedy,10.00,3840,0,3377,274,136.04,0.00
a280,hhi_greedy,25.00,3840,0,3377,274,136.04,0.00
a280,hhi_greedy,50.00,3840,0,3377,274,136.04,0.00
a280,hhi_greedy,75.00,3840,0,3377,274,136.04,0.00
a280,hhi_greedy,100.00,3840,0,3377,274,136.04,0.00
a280,hhi_greedy,200.00,3840,0,3649,274,135.44,0.00
