Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_greedy_2opt,0,7168,0,370,19,113.22,0.00
a20,hhi_greedy_2opt,0.50,7168,0,370,19,113.22,0.00
a20,hhi_greedy_2opt,1.00,7168,0,370,19,113.22,0.00
a20,hhi_greedy_2opt,1.50,7168,0,370,19,113.22,0.00
a20,hhi_greedy_2opt,2.00,7168,0,370,19,113.22,0.00
a20,hhi_greedy_2opt,2.50,7168,0,370,19,113.22,0.00
a20,hhi_greedy_2opt,3.00,7168,0,370,19,113.22,0.00
a20,hhi_greedy_2opt,3.50,7168,0,370,19,113.22,0.00
a20,hhi_greedy_2opt,4.00,7168,0,370,19,113.22,0.00
a20,hhi_greedy_2opt,5.00,7168,0,370,19,113.22,0.00
a20,hhi_greedy_2opt,7.00,7168,0,370,19,113.22,0.00
a20,hhi_greedy_2opt,10.00,7168,0,370,19,113.22,0.00
a20,hhi_greedy_2opt,25.00,7168,0,370,19,113.22,0.00
a20,hhi_greedy_2opt,50.00,7168,0,365,18,128.79,0.00
a20,hhi_greedy_2opt,75.00,7168,0,415,18,114.51,0.00
a20,hhi_greedy_2opt,100.00,7168,0,415,18,114.51,0.00
a20,hhi_greedy_2opt,200.00,7168,0,415,18,114.51,0.00
a280,hhi_greedy_2opt,0.00,7168,0,3353,274,134.27,0.00
a280,hhi_greedy_2opt,0.50,7168,0,3353,274,134.27,0.00
a280,hhi_greedy_2opt,1.00,7168,0,3353,274,134.27,0.00
a280,hhi_greedy_2opt,1.50,7168,0,3353,274,134.27,0.00
a280,hhi_greedy_2opt,2.00,7168,0,3353,274,134.27,0.00
a280,hhi_greedy_2opt,2.50,7168,0,3353,274,134.27,0.00
a280,hhi_greedy_2opt,3.00,7168,0,3353,274,134.27,0.00
a280,hhi_greedy_2opt,3.50,7168,0,3353,274,134.27,0.00
a280,hhi_greedy_2opt,4.00,7168,0,3353,274,134.27,0.00
a280,hhi_greedy_2opt,5.00,7168,0,3353,274,134.27,0.00
a280,hhi_greedy_2opt,7.00,7168,0,3372,274,136.04,0.00
a280,hhi_greedy_2opt,10.00,7168,0,3372,274,136.04,0.00
a280,hhi_greedy_2opt,25.00,7168,0,3372,274,136.04,0.00
a280,hhi_greedy_2opt,50.00,7168,0,3372,274,136.04,0.00
a280,hhi_greedy_2opt,75.00,7168,0,3372,274,136.04,0.00
a280,hhi_greedy_2opt,100.00,7168,0,3372,274,136.04,0.00
a280,hhi_greedy_2opt,200.00,7168,0,3643,274,135.03,0.00
xql662,hhi_greedy_2opt,0.00,7168,0,3338,651,131.19,0.00
xql662,hhi_greedy_2opt,0.50,7168,0,3424,653,131.97,0.00
