Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_greedy_2opt_adapK,0,7608,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK,0.50,7608,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK,1.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK,1.50,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK,2.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK,2.50,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK,3.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK,3.50,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK,4.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK,5.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK,7.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK,10.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK,25.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK,50.00,7736,0,365,18,128.79,0.00
a20,hhi_greedy_2opt_adapK,75.00,7736,0,415,18,114.51,0.00
a20,hhi_greedy_2opt_adapK,100.00,7736,0,415,18,114.51,0.00
a20,hhi_greedy_2opt_adapK,200.00,7736,0,415,18,114.51,0.00
a280,hhi_greedy_2opt_adapK,0.00,7736,0,3610,275,138.55,0.00
a280,hhi_greedy_2opt_adapK,0.50,7736,0,3499,274,139.21,0.00
a280,hhi_greedy_2opt_adapK,1.00,7736,0,3499,274,139.21,0.00
a280,hhi_greedy_2opt_adapK,1.50,7736,0,3499,274,139.21,0.00
a280,hhi_greedy_2opt_adapK,2.00,7736,0,3499,274,139.21,0.00
a280,hhi_greedy_2opt_adapK,2.50,7736,0,3499,274,139.21,0.00
a280,hhi_greedy_2opt_adapK,3.00,7736,0,3499,274,139.21,0.00
a280,hhi_greedy_2opt_adapK,3.50,7736,0,3499,274,139.21,0.00
a280,hhi_greedy_2opt_adapK,4.00,7736,0,3499,274,139.21,0.00
a280,hhi_greedy_2opt_adapK,5.00,7736,0,3499,274,139.21,0.00
a280,hhi_greedy_2opt_adapK,7.00,7736,0,3499,274,139.21,0.00
a280,hhi_greedy_2opt_adapK,10.00,7736,0,3499,274,139.21,0.00
a280,hhi_greedy_2opt_adapK,25.00,7736,0,3242,276,138.22,0.00
a280,hhi_greedy_2opt_adapK,50.00,7736,0,3179,273,134.82,0.00
a280,hhi_greedy_2opt_adapK,75.00,7736,0,3179,273,134.82,0.00
a280,hhi_greedy_2opt_adapK,100.00,7736,0,3299,273,135.19,0.00
a280,hhi_greedy_2opt_adapK,200.00,7736,0,3388,276,138.52,0.00
xql662,hhi_greedy_2opt_adapK,0.00,7736,0,3363,651,132.90,0.00
xql662,hhi_greedy_2opt_adapK,0.50,7736,0,3338,650,133.89,0.00
xql662,hhi_greedy_2opt_adapK,1.00,7736,0,3358,653,133.78,0.00
xql662,hhi_greedy_2opt_adapK,1.50,7736,0,3308,654,134.52,0.00
xql662,hhi_greedy_2opt_adapK,2.00,7736,0,3271,655,135.72,0.00
xql662,hhi_greedy_2opt_adapK,2.50,7736,0,3359,655,134.68,0.00
xql662,hhi_greedy_2opt_adapK,3.00,7736,0,3445,652,132.16,0.00
xql662,hhi_greedy_2opt_adapK,3.50,7736,1,3342,654,136.69,0.00
