Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_greedy_2opt_adapK_9CellMean,0,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean,0.50,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean,1.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean,1.50,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean,2.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean,2.50,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean,3.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean,3.50,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean,4.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean,5.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean,7.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean,10.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean,25.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean,50.00,7736,0,365,18,128.79,0.00
a20,hhi_greedy_2opt_adapK_9CellMean,75.00,7736,0,415,18,114.51,0.00
a20,hhi_greedy_2opt_adapK_9CellMean,100.00,7736,0,415,18,114.51,0.00
a20,hhi_greedy_2opt_adapK_9CellMean,200.00,7736,0,415,18,114.51,0.00
a280,hhi_greedy_2opt_adapK_9CellMean,0.00,7736,0,3443,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean,0.50,7736,0,3451,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean,1.00,7736,0,3451,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean,1.50,7736,0,3451,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean,2.00,7736,0,3451,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean,2.50,7736,0,3451,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean,3.00,7736,0,3451,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean,3.50,7736,0,3451,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean,4.00,7736,0,3451,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean,5.00,7736,0,3451,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean,7.00,7736,0,3451,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean,10.00,7736,0,3451,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean,25.00,7736,0,3356,273,133.66,0.00
a280,hhi_greedy_2opt_adapK_9CellMean,50.00,7736,0,3400,274,137.76,0.00
a280,hhi_greedy_2opt_adapK_9CellMean,75.00,7736,0,3400,274,137.76,0.00
a280,hhi_greedy_2opt_adapK_9CellMean,100.00,7736,0,3400,274,137.76,0.00
a280,hhi_greedy_2opt_adapK_9CellMean,200.00,7736,0,3434,272,134.00,0.00
xql662,hhi_greedy_2opt_adapK_9CellMean,0.00,7736,0,3470,646,128.15,0.00
xql662,hhi_greedy_2opt_adapK_9CellMean,0.50,7736,0,3461,646,129.39,0.00
xql662,hhi_greedy_2opt_adapK_9CellMean,1.00,7736,0,3480,645,130.11,0.00
xql662,hhi_greedy_2opt_adapK_9CellMean,1.50,7736,0,3565,653,129.94,0.00
xql662,hhi_greedy_2opt_adapK_9CellMean,2.00,7736,0,3626,653,129.64,0.00
xql662,hhi_greedy_2opt_adapK_9CellMean,2.50,7736,0,3599,652,129.61,0.00
xql662,hhi_greedy_2opt_adapK_9CellMean,3.00,7736,0,3592,654,129.87,0.00
xql662,hhi_greedy_2opt_adapK_9CellMean,3.50,7736,0,3544,652,130.48,0.00
xql662,hhi_greedy_2opt_adapK_9CellMean,4.00,7736,0,3681,655,129.88,0.00
xql662,hhi_greedy_2opt_adapK_9CellMean,5.00,7736,0,3687,655,129.98,0.00
xql662,hhi_greedy_2opt_adapK_9CellMean,7.00,7736,0,3516,655,131.42,0.00
xql662,hhi_greedy_2opt_adapK_9CellMean,10.00,7736,0,3603,657,132.52,0.00
xql662,hhi_greedy_2opt_adapK_9CellMean,25.00,7736,0,3799,655,133.49,0.00
xql662,hhi_greedy_2opt_adapK_9CellMean,50.00,7736,0,3676,655,136.53,0.00
