Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_greedy_2opt_adapK_9CellMean_hull,0,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean_hull,0.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean_hull,1.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean_hull,1.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean_hull,2.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean_hull,2.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean_hull,3.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean_hull,3.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean_hull,4.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean_hull,5.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean_hull,7.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean_hull,10.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean_hull,25.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean_hull,50.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean_hull,75.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean_hull,100.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_9CellMean_hull,200.00,9712,0,365,18,128.79,0.00
a280,hhi_greedy_2opt_adapK_9CellMean_hull,0.00,9712,0,3443,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean_hull,0.50,9712,0,3451,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean_hull,1.00,9712,0,3451,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean_hull,1.50,9712,0,3451,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean_hull,2.00,9712,0,3451,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean_hull,2.50,9712,0,3451,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean_hull,3.00,9712,0,3451,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean_hull,3.50,9712,0,3451,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean_hull,4.00,9712,0,3451,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean_hull,5.00,9712,0,3451,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean_hull,7.00,9712,0,3451,273,135.24,0.00
a280,hhi_greedy_2opt_adapK_9CellMean_hull,10.00,9712,0,3451,273,135.24,0.00
