Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_greedy_2opt_adapK_hull,0,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_hull,0.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_hull,1.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_hull,1.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_hull,2.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_hull,2.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_hull,3.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_hull,3.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_hull,4.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_hull,5.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_hull,7.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_hull,10.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_hull,25.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_hull,50.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_hull,75.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_hull,100.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_2opt_adapK_hull,200.00,9712,0,362,19,128.43,0.00
a280,hhi_greedy_2opt_adapK_hull,0.00,9712,0,3610,275,138.55,0.00
a280,hhi_greedy_2opt_adapK_hull,0.50,9712,0,3499,274,139.21,0.00
a280,hhi_greedy_2opt_adapK_hull,1.00,9712,0,3499,274,139.21,0.00
a280,hhi_greedy_2opt_adapK_hull,1.50,9712,0,3499,274,139.21,0.00
a280,hhi_greedy_2opt_adapK_hull,2.00,9712,0,3499,274,139.21,0.00
a280,hhi_greedy_2opt_adapK_hull,2.50,9712,0,3499,274,139.21,0.00
a280,hhi_greedy_2opt_adapK_hull,3.00,9712,0,3499,274,139.21,0.00
a280,hhi_greedy_2opt_adapK_hull,3.50,9712,0,3499,274,139.21,0.00
a280,hhi_greedy_2opt_adapK_hull,4.00,9712,0,3499,274,139.21,0.00
a280,hhi_greedy_2opt_adapK_hull,5.00,9712,0,3499,274,139.21,0.00
a280,hhi_greedy_2opt_adapK_hull,7.00,9712,0,3499,274,139.21,0.00
a280,hhi_greedy_2opt_adapK_hull,10.00,9712,0,3499,274,139.21,0.00
a280,hhi_greedy_2opt_adapK_hull,25.00,9712,0,3242,276,138.22,0.00
a280,hhi_greedy_2opt_adapK_hull,50.00,9712,0,3179,273,134.82,0.00
a280,hhi_greedy_2opt_adapK_hull,75.00,9712,0,3179,273,134.82,0.00
a280,hhi_greedy_2opt_adapK_hull,100.00,9712,0,3206,273,136.62,0.00
a280,hhi_greedy_2opt_adapK_hull,200.00,9712,0,3407,276,139.42,0.00
xql662,hhi_greedy_2opt_adapK_hull,0.00,9712,0,3363,651,132.90,0.00
xql662,hhi_greedy_2opt_adapK_hull,0.50,9712,0,3338,650,133.89,0.00
xql662,hhi_greedy_2opt_adapK_hull,1.00,9712,0,3358,653,133.78,0.00
xql662,hhi_greedy_2opt_adapK_hull,1.50,9712,0,3308,654,134.52,0.00
xql662,hhi_greedy_2opt_adapK_hull,2.00,9712,0,3271,655,135.72,0.00
xql662,hhi_greedy_2opt_adapK_hull,2.50,9712,0,3359,655,134.68,0.00
xql662,hhi_greedy_2opt_adapK_hull,3.00,9712,0,3445,652,132.16,0.00
xql662,hhi_greedy_2opt_adapK_hull,3.50,9712,0,3342,654,136.69,0.00
xql662,hhi_greedy_2opt_adapK_hull,4.00,9712,0,3402,656,136.41,0.00
xql662,hhi_greedy_2opt_adapK_hull,5.00,9712,0,3413,656,136.22,0.00
xql662,hhi_greedy_2opt_adapK_hull,7.00,9712,0,3500,657,135.35,0.00
xql662,hhi_greedy_2opt_adapK_hull,10.00,9712,0,3421,656,136.36,0.00
xql662,hhi_greedy_2opt_adapK_hull,25.00,9712,1,3416,656,136.86,0.00
xql662,hhi_greedy_2opt_adapK_hull,50.00,9712,0,3572,657,138.15,0.00
xql662,hhi_greedy_2opt_adapK_hull,75.00,9712,0,4016,659,138.92,0.00
xql662,hhi_greedy_2opt_adapK_hull,100.00,9712,0,3677,659,137.02,0.00
xql662,hhi_greedy_2opt_adapK_hull,200.00,9712,0,3618,658,141.23,0.00
kz9976,hhi_greedy_2opt_adapK_hull,0.00,9712,9,1627032,9941,112.57,0.00
