Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_greedy_2opt_adapK_hull_multi,0,9712,0,364,19,122.70,0.00
a20,hhi_greedy_2opt_adapK_hull_multi,0.50,9712,0,360,19,134.62,0.00
a20,hhi_greedy_2opt_adapK_hull_multi,1.00,9712,0,360,19,134.62,0.00
a20,hhi_greedy_2opt_adapK_hull_multi,1.50,9712,0,360,19,134.62,0.00
a20,hhi_greedy_2opt_adapK_hull_multi,2.00,9712,0,360,19,134.62,0.00
a20,hhi_greedy_2opt_adapK_hull_multi,2.50,9712,0,360,19,134.62,0.00
a20,hhi_greedy_2opt_adapK_hull_multi,3.00,9712,0,360,19,134.62,0.00
a20,hhi_greedy_2opt_adapK_hull_multi,3.50,9712,0,360,19,134.62,0.00
a20,hhi_greedy_2opt_adapK_hull_multi,4.00,9712,0,360,19,134.62,0.00
a20,hhi_greedy_2opt_adapK_hull_multi,5.00,9712,0,360,19,134.62,0.00
a20,hhi_greedy_2opt_adapK_hull_multi,7.00,9712,0,360,19,134.62,0.00
a20,hhi_greedy_2opt_adapK_hull_multi,10.00,9712,0,360,19,134.62,0.00
a20,hhi_greedy_2opt_adapK_hull_multi,25.00,9712,0,360,19,134.62,0.00
a20,hhi_greedy_2opt_adapK_hull_multi,50.00,9712,0,355,19,135.26,0.00
a20,hhi_greedy_2opt_adapK_hull_multi,75.00,9712,0,344,19,149.14,0.00
a20,hhi_greedy_2opt_adapK_hull_multi,100.00,9712,0,344,19,149.14,0.00
a20,hhi_greedy_2opt_adapK_hull_multi,200.00,9712,0,344,19,149.14,0.00
a280,hhi_greedy_2opt_adapK_hull_multi,0.00,9712,3,3227,277,135.79,0.00
a280,hhi_greedy_2opt_adapK_hull_multi,0.50,9712,3,3293,275,139.39,0.00
a280,hhi_greedy_2opt_adapK_hull_multi,1.00,9712,3,3293,275,139.39,0.00
a280,hhi_greedy_2opt_adapK_hull_multi,1.50,9712,3,3293,275,139.39,0.00
a280,hhi_greedy_2opt_adapK_hull_multi,2.00,9712,3,3293,275,139.39,0.00
a280,hhi_greedy_2opt_adapK_hull_multi,2.50,9712,3,3293,275,139.39,0.00
a280,hhi_greedy_2opt_adapK_hull_multi,3.00,9712,3,3293,275,139.39,0.00
a280,hhi_greedy_2opt_adapK_hull_multi,3.50,9712,3,3293,275,139.39,0.00
a280,hhi_greedy_2opt_adapK_hull_multi,4.00,9712,3,3293,275,139.39,0.00
a280,hhi_greedy_2opt_adapK_hull_multi,5.00,9712,3,3293,275,139.39,0.00
a280,hhi_greedy_2opt_adapK_hull_multi,7.00,9712,3,3293,275,139.39,0.00
a280,hhi_greedy_2opt_adapK_hull_multi,10.00,9712,3,3293,275,139.39,0.00
a280,hhi_greedy_2opt_adapK_hull_multi,25.00,9712,3,3242,276,138.22,0.00
a280,hhi_greedy_2opt_adapK_hull_multi,50.00,9712,3,3179,273,134.82,0.00
a280,hhi_greedy_2opt_adapK_hull_multi,75.00,9712,3,3179,273,134.82,0.00
a280,hhi_greedy_2opt_adapK_hull_multi,100.00,9712,2,3206,273,136.62,0.00
a280,hhi_greedy_2opt_adapK_hull_multi,200.00,9712,3,3353,275,143.31,0.00
xql662,hhi_greedy_2opt_adapK_hull_multi,0.00,9712,6,3147,653,130.71,0.00
xql662,hhi_greedy_2opt_adapK_hull_multi,0.50,9712,7,3147,650,132.91,0.00
xql662,hhi_greedy_2opt_adapK_hull_multi,1.00,9712,7,3131,655,132.74,0.00
xql662,hhi_greedy_2opt_adapK_hull_multi,1.50,9712,7,3171,655,136.28,0.00
xql662,hhi_greedy_2opt_adapK_hull_multi,2.00,9712,7,3184,655,136.30,0.00
xql662,hhi_greedy_2opt_adapK_hull_multi,2.50,9712,7,3184,655,136.47,0.00
xql662,hhi_greedy_2opt_adapK_hull_multi,3.00,9712,7,3327,654,133.11,0.00
xql662,hhi_greedy_2opt_adapK_hull_multi,3.50,9712,7,3262,650,133.62,0.00
