Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_greedy_anglePenalty,0,9712,0,370,19,113.22,0.00
a20,hhi_greedy_anglePenalty,0.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_anglePenalty,1.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_anglePenalty,1.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_anglePenalty,2.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_anglePenalty,2.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_anglePenalty,3.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_anglePenalty,3.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_anglePenalty,4.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_anglePenalty,5.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_anglePenalty,7.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_anglePenalty,10.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_anglePenalty,25.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_anglePenalty,50.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_anglePenalty,75.00,9712,0,376,19,114.22,0.00
a20,hhi_greedy_anglePenalty,100.00,9712,0,362,19,128.43,0.00
a20,hhi_greedy_anglePenalty,200.00,9712,0,362,19,128.43,0.00
a280,hhi_greedy_anglePenalty,0.00,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_anglePenalty,0.50,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_anglePenalty,1.00,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_anglePenalty,1.50,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_anglePenalty,2.00,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_anglePenalty,2.50,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_anglePenalty,3.00,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_anglePenalty,3.50,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_anglePenalty,4.00,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_anglePenalty,5.00,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_anglePenalty,7.00,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_anglePenalty,10.00,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_anglePenalty,25.00,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_anglePenalty,50.00,9712,0,3377,274,136.04,0.00
a280,hhi_greedy_anglePenalty,75.00,9712,0,3377,274,136.04,0.00
a280,hhi_greedy_anglePenalty,100.00,9712,0,3377,274,136.04,0.00
a280,hhi_greedy_anglePenalty,200.00,9712,0,3377,274,136.04,0.00
xql662,hhi_greedy_anglePenalty,0.00,9712,0,3332,651,131.13,0.00
xql662,hhi_greedy_anglePenalty,0.50,9712,0,3451,650,129.94,0.00
xql662,hhi_greedy_anglePenalty,1.00,9712,0,3451,650,129.94,0.00
xql662,hhi_greedy_anglePenalty,1.50,9712,0,3625,649,130.10,0.00
xql662,hhi_greedy_anglePenalty,2.00,9712,0,3640,652,130.75,0.00
xql662,hhi_greedy_anglePenalty,2.50,9712,0,3700,649,131.64,0.00
xql662,hhi_greedy_anglePenalty,3.00,9712,0,3683,649,131.57,0.00
xql662,hhi_greedy_anglePenalty,3.50,9712,0,3683,649,131.57,0.00
xql662,hhi_greedy_anglePenalty,4.00,9712,0,3271,655,131.89,0.00
xql662,hhi_greedy_anglePenalty,5.00,9712,0,3290,653,131.23,0.00
xql662,hhi_greedy_anglePenalty,7.00,9712,0,3286,653,132.69,0.00
xql662,hhi_greedy_anglePenalty,10.00,9712,0,3676,655,131.47,0.00
xql662,hhi_greedy_anglePenalty,25.00,9712,0,3341,658,136.02,0.00
xql662,hhi_greedy_anglePenalty,50.00,9712,0,3317,660,134.56,0.00
xql662,hhi_greedy_anglePenalty,75.00,9712,0,3711,660,133.39,0.00
xql662,hhi_greedy_anglePenalty,100.00,9712,0,3530,661,135.50,0.00
xql662,hhi_greedy_anglePenalty,200.00,9712,0,3664,660,135.78,0.00
kz9976,hhi_greedy_anglePenalty,0.00,9712,12,1558938,9946,114.02,0.00
kz9976,hhi_greedy_anglePenalty,0.50,9712,11,1559046,9956,114.35,0.00
kz9976,hhi_greedy_anglePenalty,1.00,9712,13,1559046,9956,114.35,0.00
kz9976,hhi_greedy_anglePenalty,1.50,9712,12,1559100,9956,114.34,0.00
kz9976,hhi_greedy_anglePenalty,2.00,9712,12,1559138,9956,114.35,0.00
kz9976,hhi_greedy_anglePenalty,2.50,9712,11,1555566,9957,114.31,0.00
kz9976,hhi_greedy_anglePenalty,3.00,9712,11,1555566,9957,114.31,0.00
kz9976,hhi_greedy_anglePenalty,3.50,9712,13,1555584,9957,114.30,0.00
kz9976,hhi_greedy_anglePenalty,4.00,9712,13,1531337,9959,114.56,0.00
kz9976,hhi_greedy_anglePenalty,5.00,9712,14,1532513,9958,114.60,0.00
kz9976,hhi_greedy_anglePenalty,7.00,9712,11,1537524,9953,114.65,0.00
kz9976,hhi_greedy_anglePenalty,10.00,9712,11,1538012,9959,114.37,0.00
kz9976,hhi_greedy_anglePenalty,25.00,9712,12,1527048,9958,114.48,0.00
kz9976,hhi_greedy_anglePenalty,50.00,9712,11,1551178,9961,115.20,0.00
kz9976,hhi_greedy_anglePenalty,75.00,9712,11,1530792,9959,115.43,0.00
kz9976,hhi_greedy_anglePenalty,100.00,9712,11,1543020,9962,115.61,0.00
kz9976,hhi_greedy_anglePenalty,200.00,9712,11,1561972,9964,116.01,0.00
ei8246,hhi_greedy_anglePenalty,0.00,9712,10,280002,8232,115.22,0.00
ei8246,hhi_greedy_anglePenalty,0.50,9712,9,272265,8230,115.59,0.00
ei8246,hhi_greedy_anglePenalty,1.00,9712,9,274191,8231,115.31,0.00
ei8246,hhi_greedy_anglePenalty,1.50,9712,9,277695,8228,115.34,0.00
ei8246,hhi_greedy_anglePenalty,2.00,9712,10,276188,8230,115.26,0.00
ei8246,hhi_greedy_anglePenalty,2.50,9712,10,276126,8232,115.93,0.00
ei8246,hhi_greedy_anglePenalty,3.00,9712,9,276300,8230,115.64,0.00
ei8246,hhi_greedy_anglePenalty,3.50,9712,11,277135,8231,115.85,0.00
ei8246,hhi_greedy_anglePenalty,4.00,9712,10,276954,8234,115.63,0.00
ei8246,hhi_greedy_anglePenalty,5.00,9712,9,280599,8234,115.96,0.00
ei8246,hhi_greedy_anglePenalty,7.00,9712,9,277371,8232,115.91,0.00
ei8246,hhi_greedy_anglePenalty,10.00,9712,10,279532,8229,115.41,0.00
ei8246,hhi_greedy_anglePenalty,25.00,9712,11,274616,8232,116.93,0.00
ei8246,hhi_greedy_anglePenalty,50.00,9712,11,277415,8239,117.57,0.00
ei8246,hhi_greedy_anglePenalty,75.00,9712,11,278969,8239,118.03,0.00
ei8246,hhi_greedy_anglePenalty,100.00,9712,13,285649,8241,118.77,0.00
ei8246,hhi_greedy_anglePenalty,200.00,9712,11,282161,8242,119.38,0.00
vm22775,hhi_greedy_anglePenalty,0.00,9712,29,823018,22387,116.33,0.00
vm22775,hhi_greedy_anglePenalty,0.50,9712,28,821213,22422,117.54,0.00
vm22775,hhi_greedy_anglePenalty,1.00,9712,28,813281,22464,117.77,0.00
vm22775,hhi_greedy_anglePenalty,1.50,9712,31,823740,22453,117.70,0.00
vm22775,hhi_greedy_anglePenalty,2.00,9712,34,819368,22460,117.95,0.00
vm22775,hhi_greedy_anglePenalty,2.50,9712,37,825371,22460,117.94,0.00
vm22775,hhi_greedy_anglePenalty,3.00,9712,36,815987,22471,117.68,0.00
