Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_greedy_basic_adapK,0,7352,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK,0.50,7352,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK,1.00,7352,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK,1.50,7352,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK,2.00,7352,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK,2.50,7352,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK,3.00,7352,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK,3.50,7352,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK,4.00,7352,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK,5.00,7352,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK,7.00,7352,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK,10.00,7352,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK,25.00,7352,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK,50.00,7352,0,362,19,126.75,0.00
a20,hhi_greedy_basic_adapK,75.00,7352,0,412,18,119.51,0.00
a20,hhi_greedy_basic_adapK,100.00,7480,0,412,18,119.51,0.00
a20,hhi_greedy_basic_adapK,200.00,7480,0,412,18,119.51,0.00
a280,hhi_greedy_basic_adapK,0.00,7480,0,3610,274,138.48,0.00
a280,hhi_greedy_basic_adapK,0.50,7480,0,3493,274,139.72,0.00
a280,hhi_greedy_basic_adapK,1.00,7480,0,3493,274,139.72,0.00
a280,hhi_greedy_basic_adapK,1.50,7480,0,3493,274,139.72,0.00
a280,hhi_greedy_basic_adapK,2.00,7480,0,3493,274,139.72,0.00
a280,hhi_greedy_basic_adapK,2.50,7480,0,3493,274,139.72,0.00
a280,hhi_greedy_basic_adapK,3.00,7480,0,3493,274,139.72,0.00
a280,hhi_greedy_basic_adapK,3.50,7480,0,3493,274,139.72,0.00
a280,hhi_greedy_basic_adapK,4.00,7480,0,3493,274,139.72,0.00
a280,hhi_greedy_basic_adapK,5.00,7480,0,3493,274,139.72,0.00
a280,hhi_greedy_basic_adapK,7.00,7480,0,3493,274,139.72,0.00
a280,hhi_greedy_basic_adapK,10.00,7480,0,3493,274,139.72,0.00
a280,hhi_greedy_basic_adapK,25.00,7480,0,3248,276,138.65,0.00
a280,hhi_greedy_basic_adapK,50.00,7480,0,3190,273,135.07,0.00
a280,hhi_greedy_basic_adapK,75.00,7480,0,3190,273,135.07,0.00
a280,hhi_greedy_basic_adapK,100.00,7480,0,3310,273,135.44,0.00
a280,hhi_greedy_basic_adapK,200.00,7480,0,3394,276,139.08,0.00
xql662,hhi_greedy_basic_adapK,0.00,7480,0,3361,651,132.84,0.00
xql662,hhi_greedy_basic_adapK,0.50,7480,0,3336,650,133.83,0.00
xql662,hhi_greedy_basic_adapK,1.00,7480,0,3347,653,133.84,0.00
xql662,hhi_greedy_basic_adapK,1.50,7480,0,3290,654,134.41,0.00
xql662,hhi_greedy_basic_adapK,2.00,7480,0,3268,655,135.87,0.00
xql662,hhi_greedy_basic_adapK,2.50,7480,0,3361,655,134.68,0.00
xql662,hhi_greedy_basic_adapK,3.00,7480,0,3447,652,132.16,0.00
xql662,hhi_greedy_basic_adapK,3.50,7480,0,3333,654,136.67,0.00
xql662,hhi_greedy_basic_adapK,4.00,7480,0,3386,656,136.50,0.00
xql662,hhi_greedy_basic_adapK,5.00,7480,0,3397,656,136.31,0.00
xql662,hhi_greedy_basic_adapK,7.00,7480,0,3501,657,135.46,0.00
xql662,hhi_greedy_basic_adapK,10.00,7608,0,3411,656,136.36,0.00
xql662,hhi_greedy_basic_adapK,25.00,7608,0,3411,656,137.13,0.00
xql662,hhi_greedy_basic_adapK,50.00,7608,0,3573,657,138.15,0.00
xql662,hhi_greedy_basic_adapK,75.00,7608,0,4019,659,138.78,0.00
xql662,hhi_greedy_basic_adapK,100.00,7608,0,3682,659,138.83,0.00
xql662,hhi_greedy_basic_adapK,200.00,7608,0,3600,659,141.05,0.00
kz9976,hhi_greedy_basic_adapK,0.00,7608,9,1642459,9940,112.68,0.00
kz9976,hhi_greedy_basic_adapK,0.50,7608,8,1604811,9946,112.54,0.00
kz9976,hhi_greedy_basic_adapK,1.00,7608,8,1604866,9946,112.56,0.00
kz9976,hhi_greedy_basic_adapK,1.50,7608,8,1604031,9946,112.57,0.00
kz9976,hhi_greedy_basic_adapK,2.00,7608,9,1617796,9943,112.66,0.00
kz9976,hhi_greedy_basic_adapK,2.50,7608,8,1629193,9939,112.52,0.00
kz9976,hhi_greedy_basic_adapK,3.00,7608,10,1628417,9939,112.49,0.00
kz9976,hhi_greedy_basic_adapK,3.50,7608,9,1609416,9943,112.63,0.00
kz9976,hhi_greedy_basic_adapK,4.00,7608,9,1616422,9944,112.65,0.00
kz9976,hhi_greedy_basic_adapK,5.00,7608,7,1613818,9934,112.86,0.00
kz9976,hhi_greedy_basic_adapK,7.00,7608,8,1604140,9946,113.08,0.00
kz9976,hhi_greedy_basic_adapK,10.00,7608,9,1621763,9943,112.98,0.00
kz9976,hhi_greedy_basic_adapK,25.00,7608,9,1606665,9946,113.65,0.00
kz9976,hhi_greedy_basic_adapK,50.00,7608,9,1610061,9948,115.34,0.00
kz9976,hhi_greedy_basic_adapK,75.00,7608,7,1598191,9946,115.40,0.00
kz9976,hhi_greedy_basic_adapK,100.00,7608,7,1625333,9948,115.90,0.00
kz9976,hhi_greedy_basic_adapK,200.00,7608,8,1624222,9952,116.99,0.00
ei8246,hhi_greedy_basic_adapK,0.00,7608,14,268519,8233,117.09,0.00
ei8246,hhi_greedy_basic_adapK,0.50,7608,13,267226,8233,117.30,0.00
ei8246,hhi_greedy_basic_adapK,1.00,7608,13,266662,8232,116.99,0.00
ei8246,hhi_greedy_basic_adapK,1.50,7608,12,268079,8238,117.73,0.00
ei8246,hhi_greedy_basic_adapK,2.00,7608,13,269462,8234,117.33,0.00
ei8246,hhi_greedy_basic_adapK,2.50,7608,13,265143,8230,117.59,0.00
ei8246,hhi_greedy_basic_adapK,3.00,7608,12,264595,8236,117.79,0.00
ei8246,hhi_greedy_basic_adapK,3.50,7608,13,265649,8236,117.61,0.00
ei8246,hhi_greedy_basic_adapK,4.00,7608,15,268257,8235,117.83,0.00
ei8246,hhi_greedy_basic_adapK,5.00,7608,15,265654,8233,118.23,0.00
ei8246,hhi_greedy_basic_adapK,7.00,7608,13,267133,8235,118.80,0.00
ei8246,hhi_greedy_basic_adapK,10.00,7608,12,272360,8238,119.67,0.00
