Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_greedy_basic_adapK_9CellMean,0,7736,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean,0.50,7736,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean,1.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean,1.50,7736,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean,2.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean,2.50,7736,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean,3.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean,3.50,7736,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean,4.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean,5.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean,7.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean,10.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean,25.00,7736,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean,50.00,7736,0,362,19,126.75,0.00
a20,hhi_greedy_basic_adapK_9CellMean,75.00,7736,0,412,18,119.51,0.00
a20,hhi_greedy_basic_adapK_9CellMean,100.00,7736,0,412,18,119.51,0.00
a20,hhi_greedy_basic_adapK_9CellMean,200.00,7736,0,412,18,119.51,0.00
a280,hhi_greedy_basic_adapK_9CellMean,0.00,7736,0,3419,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean,0.50,7736,0,3427,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean,1.00,7736,0,3427,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean,1.50,7736,0,3427,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean,2.00,7736,0,3427,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean,2.50,7736,0,3427,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean,3.00,7736,0,3427,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean,3.50,7736,0,3427,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean,4.00,7736,0,3427,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean,5.00,7736,0,3427,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean,7.00,7736,0,3427,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean,10.00,7736,0,3427,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean,25.00,7736,0,3360,273,133.53,0.00
a280,hhi_greedy_basic_adapK_9CellMean,50.00,7736,0,3395,274,138.02,0.00
a280,hhi_greedy_basic_adapK_9CellMean,75.00,7736,0,3395,274,138.02,0.00
a280,hhi_greedy_basic_adapK_9CellMean,100.00,7736,0,3395,274,138.02,0.00
a280,hhi_greedy_basic_adapK_9CellMean,200.00,7736,0,3438,272,133.87,0.00
xql662,hhi_greedy_basic_adapK_9CellMean,0.00,7736,0,3468,646,128.09,0.00
xql662,hhi_greedy_basic_adapK_9CellMean,0.50,7736,0,3442,646,129.29,0.00
xql662,hhi_greedy_basic_adapK_9CellMean,1.00,7736,0,3478,645,130.05,0.00
xql662,hhi_greedy_basic_adapK_9CellMean,1.50,7736,0,3563,653,129.89,0.00
xql662,hhi_greedy_basic_adapK_9CellMean,2.00,7736,0,3624,653,129.59,0.00
xql662,hhi_greedy_basic_adapK_9CellMean,2.50,7736,0,3601,652,129.61,0.00
xql662,hhi_greedy_basic_adapK_9CellMean,3.00,7736,0,3594,654,129.87,0.00
xql662,hhi_greedy_basic_adapK_9CellMean,3.50,7736,0,3531,652,130.40,0.00
xql662,hhi_greedy_basic_adapK_9CellMean,4.00,7736,0,3668,655,129.73,0.00
xql662,hhi_greedy_basic_adapK_9CellMean,5.00,7736,0,3674,655,129.83,0.00
xql662,hhi_greedy_basic_adapK_9CellMean,7.00,7736,0,3507,655,131.72,0.00
xql662,hhi_greedy_basic_adapK_9CellMean,10.00,7736,0,3595,657,132.58,0.00
xql662,hhi_greedy_basic_adapK_9CellMean,25.00,7736,0,3794,655,133.77,0.00
xql662,hhi_greedy_basic_adapK_9CellMean,50.00,7736,0,3677,655,136.53,0.00
xql662,hhi_greedy_basic_adapK_9CellMean,75.00,7736,0,3675,659,136.04,0.00
xql662,hhi_greedy_basic_adapK_9CellMean,100.00,7736,0,4019,659,134.09,0.00
xql662,hhi_greedy_basic_adapK_9CellMean,200.00,7736,0,3862,660,136.48,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean,0.00,7736,5,1674745,9937,111.69,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean,0.50,7736,5,1662252,9942,111.99,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean,1.00,7736,6,1662307,9942,112.01,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean,1.50,7736,6,1661399,9942,112.02,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean,2.00,7736,5,1662865,9941,111.92,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean,2.50,7736,5,1662404,9942,111.90,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean,3.00,7736,5,1661932,9942,111.86,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean,3.50,7736,5,1661726,9942,111.89,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean,4.00,7736,5,1678064,9945,112.11,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean,5.00,7736,5,1663189,9941,112.15,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean,7.00,7736,5,1674327,9942,112.38,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean,10.00,7736,5,1686183,9948,111.96,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean,25.00,7736,6,1660533,9946,113.14,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean,50.00,7736,6,1664030,9952,113.99,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean,75.00,7736,5,1679746,9958,113.60,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean,100.00,7736,5,1683256,9946,113.99,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean,200.00,7736,5,1684916,9954,116.56,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean,0.00,7736,8,278826,8229,114.75,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean,0.50,7736,10,279804,8229,114.39,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean,1.00,7736,8,279831,8229,114.87,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean,1.50,7736,7,278881,8233,115.24,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean,2.00,7736,8,280154,8229,114.90,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean,2.50,7736,10,281412,8227,114.92,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean,3.00,7736,10,281602,8228,115.26,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean,3.50,7736,7,283741,8221,115.15,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean,4.00,7736,7,284306,8225,115.12,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean,5.00,7736,8,283425,8231,115.89,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean,7.00,7736,9,284611,8233,115.73,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean,10.00,7736,9,283627,8225,116.36,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean,25.00,7736,8,286276,8225,117.98,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean,50.00,7736,8,283859,8241,119.69,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean,75.00,7736,7,294713,8233,121.28,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean,100.00,7736,8,296358,8235,122.31,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean,200.00,7736,8,303914,8238,124.46,0.00
vm22775,hhi_greedy_basic_adapK_9CellMean,0.00,7736,20,885141,22245,115.40,0.00
vm22775,hhi_greedy_basic_adapK_9CellMean,0.50,7736,19,904843,22304,116.74,0.00
vm22775,hhi_greedy_basic_adapK_9CellMean,1.00,7736,17,902523,22294,116.78,0.00
vm22775,hhi_greedy_basic_adapK_9CellMean,1.50,7736,17,902409,22288,116.75,0.00
vm22775,hhi_greedy_basic_adapK_9CellMean,2.00,7736,17,901314,22292,116.79,0.00
