Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_greedy_basic_adapK_9CellMean_hull,0,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean_hull,0.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean_hull,1.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean_hull,1.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean_hull,2.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean_hull,2.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean_hull,3.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean_hull,3.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean_hull,4.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean_hull,5.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean_hull,7.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean_hull,10.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean_hull,25.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean_hull,50.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean_hull,75.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean_hull,100.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_9CellMean_hull,200.00,9712,0,362,19,126.75,0.00
a280,hhi_greedy_basic_adapK_9CellMean_hull,0.00,9712,0,3419,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean_hull,0.50,9712,0,3427,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean_hull,1.00,9712,0,3427,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean_hull,1.50,9712,0,3427,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean_hull,2.00,9712,0,3427,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean_hull,2.50,9712,0,3427,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean_hull,3.00,9712,0,3427,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean_hull,3.50,9712,0,3427,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean_hull,4.00,9712,0,3427,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean_hull,5.00,9712,0,3427,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean_hull,7.00,9712,0,3427,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean_hull,10.00,9712,0,3427,273,134.69,0.00
a280,hhi_greedy_basic_adapK_9CellMean_hull,25.00,9712,0,3360,273,133.53,0.00
a280,hhi_greedy_basic_adapK_9CellMean_hull,50.00,9712,0,3395,274,138.02,0.00
a280,hhi_greedy_basic_adapK_9CellMean_hull,75.00,9712,0,3395,274,138.02,0.00
a280,hhi_greedy_basic_adapK_9CellMean_hull,100.00,9712,0,3395,274,138.02,0.00
a280,hhi_greedy_basic_adapK_9CellMean_hull,200.00,9712,0,3349,272,134.33,0.00
xql662,hhi_greedy_basic_adapK_9CellMean_hull,0.00,9712,0,3468,646,128.09,0.00
xql662,hhi_greedy_basic_adapK_9CellMean_hull,0.50,9712,0,3442,646,129.29,0.00
xql662,hhi_greedy_basic_adapK_9CellMean_hull,1.00,9712,0,3478,645,130.05,0.00
xql662,hhi_greedy_basic_adapK_9CellMean_hull,1.50,9712,0,3563,653,129.89,0.00
xql662,hhi_greedy_basic_adapK_9CellMean_hull,2.00,9712,0,3624,653,129.59,0.00
xql662,hhi_greedy_basic_adapK_9CellMean_hull,2.50,9712,0,3601,652,129.61,0.00
xql662,hhi_greedy_basic_adapK_9CellMean_hull,3.00,9712,0,3594,654,129.87,0.00
xql662,hhi_greedy_basic_adapK_9CellMean_hull,3.50,9712,0,3531,652,130.40,0.00
xql662,hhi_greedy_basic_adapK_9CellMean_hull,4.00,9712,0,3668,655,129.73,0.00
xql662,hhi_greedy_basic_adapK_9CellMean_hull,5.00,9712,0,3674,655,129.83,0.00
xql662,hhi_greedy_basic_adapK_9CellMean_hull,7.00,9712,0,3507,655,131.72,0.00
xql662,hhi_greedy_basic_adapK_9CellMean_hull,10.00,9712,0,3595,657,132.58,0.00
xql662,hhi_greedy_basic_adapK_9CellMean_hull,25.00,9712,0,3794,655,133.77,0.00
xql662,hhi_greedy_basic_adapK_9CellMean_hull,50.00,9712,0,3690,658,135.17,0.00
xql662,hhi_greedy_basic_adapK_9CellMean_hull,75.00,9712,0,3760,659,137.07,0.00
xql662,hhi_greedy_basic_adapK_9CellMean_hull,100.00,9712,0,4045,659,134.08,0.00
xql662,hhi_greedy_basic_adapK_9CellMean_hull,200.00,9712,0,3745,659,135.46,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean_hull,0.00,9712,6,1674745,9937,111.69,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean_hull,0.50,9712,8,1662252,9942,111.99,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean_hull,1.00,9712,7,1662307,9942,112.01,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean_hull,1.50,9712,6,1661399,9942,112.02,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean_hull,2.00,9712,7,1662865,9941,111.92,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean_hull,2.50,9712,7,1662404,9942,111.90,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean_hull,3.00,9712,7,1661932,9942,111.86,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean_hull,3.50,9712,8,1661726,9942,111.89,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean_hull,4.00,9712,7,1678064,9945,112.11,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean_hull,5.00,9712,9,1663189,9941,112.15,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean_hull,7.00,9712,8,1674327,9942,112.38,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean_hull,10.00,9712,7,1686183,9948,111.96,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean_hull,25.00,9712,8,1660533,9946,113.14,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean_hull,50.00,9712,9,1664030,9952,113.99,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean_hull,75.00,9712,8,1679746,9958,113.60,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean_hull,100.00,9712,6,1683048,9946,114.00,0.00
kz9976,hhi_greedy_basic_adapK_9CellMean_hull,200.00,9712,6,1684927,9954,116.55,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean_hull,0.00,9712,11,278826,8229,114.75,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean_hull,0.50,9712,11,279804,8229,114.39,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean_hull,1.00,9712,9,279831,8229,114.87,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean_hull,1.50,9712,8,278881,8233,115.24,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean_hull,2.00,9712,9,280154,8229,114.90,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean_hull,2.50,9712,9,281412,8227,114.92,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean_hull,3.00,9712,10,281602,8228,115.26,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean_hull,3.50,9712,9,283741,8221,115.15,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean_hull,4.00,9712,9,284306,8225,115.12,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean_hull,5.00,9712,9,283425,8231,115.89,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean_hull,7.00,9712,10,284611,8233,115.73,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean_hull,10.00,9712,10,283627,8225,116.36,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean_hull,25.00,9712,9,285226,8225,118.14,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean_hull,50.00,9712,10,290342,8234,119.71,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean_hull,75.00,9712,8,292126,8235,121.37,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean_hull,100.00,9712,10,296375,8235,122.30,0.00
ei8246,hhi_greedy_basic_adapK_9CellMean_hull,200.00,9712,10,304130,8238,124.43,0.00
vm22775,hhi_greedy_basic_adapK_9CellMean_hull,0.00,9712,23,885141,22245,115.40,0.00
vm22775,hhi_greedy_basic_adapK_9CellMean_hull,0.50,9712,24,904823,22304,116.73,0.00
vm22775,hhi_greedy_basic_adapK_9CellMean_hull,1.00,9712,22,902523,22294,116.78,0.00
vm22775,hhi_greedy_basic_adapK_9CellMean_hull,1.50,9712,24,902405,22288,116.75,0.00
vm22775,hhi_greedy_basic_adapK_9CellMean_hull,2.00,9712,24,901310,22292,116.79,0.00
vm22775,hhi_greedy_basic_adapK_9CellMean_hull,2.50,9712,24,902825,22309,116.73,0.00
