Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_greedy_basic_adapK_hull,0,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_hull,0.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_hull,1.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_hull,1.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_hull,2.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_hull,2.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_hull,3.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_hull,3.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_hull,4.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_hull,5.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_hull,7.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_hull,10.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_hull,25.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_hull,50.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_hull,75.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_hull,100.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_basic_adapK_hull,200.00,9712,0,362,19,128.43,0.00
a280,hhi_greedy_basic_adapK_hull,0.00,9712,0,3610,274,138.48,0.00
a280,hhi_greedy_basic_adapK_hull,0.50,9712,0,3493,274,139.72,0.00
a280,hhi_greedy_basic_adapK_hull,1.00,9712,0,3493,274,139.72,0.00
a280,hhi_greedy_basic_adapK_hull,1.50,9712,0,3493,274,139.72,0.00
a280,hhi_greedy_basic_adapK_hull,2.00,9712,0,3493,274,139.72,0.00
a280,hhi_greedy_basic_adapK_hull,2.50,9712,0,3493,274,139.72,0.00
a280,hhi_greedy_basic_adapK_hull,3.00,9712,0,3493,274,139.72,0.00
a280,hhi_greedy_basic_adapK_hull,3.50,9712,0,3493,274,139.72,0.00
a280,hhi_greedy_basic_adapK_hull,4.00,9712,0,3493,274,139.72,0.00
a280,hhi_greedy_basic_adapK_hull,5.00,9712,0,3493,274,139.72,0.00
a280,hhi_greedy_basic_adapK_hull,7.00,9712,0,3493,274,139.72,0.00
a280,hhi_greedy_basic_adapK_hull,10.00,9712,0,3493,274,139.72,0.00
a280,hhi_greedy_basic_adapK_hull,25.00,9712,0,3248,276,138.65,0.00
a280,hhi_greedy_basic_adapK_hull,50.00,9712,0,3190,273,135.07,0.00
a280,hhi_greedy_basic_adapK_hull,75.00,9712,0,3190,273,135.07,0.00
a280,hhi_greedy_basic_adapK_hull,100.00,9712,0,3216,274,136.40,0.00
a280,hhi_greedy_basic_adapK_hull,200.00,9712,0,3429,276,139.80,0.00
xql662,hhi_greedy_basic_adapK_hull,0.00,9712,0,3361,651,132.84,0.00
xql662,hhi_greedy_basic_adapK_hull,0.50,9712,0,3336,650,133.83,0.00
xql662,hhi_greedy_basic_adapK_hull,1.00,9712,0,3347,653,133.84,0.00
xql662,hhi_greedy_basic_adapK_hull,1.50,9712,0,3290,654,134.41,0.00
xql662,hhi_greedy_basic_adapK_hull,2.00,9712,0,3268,655,135.87,0.00
xql662,hhi_greedy_basic_adapK_hull,2.50,9712,0,3361,655,134.68,0.00
xql662,hhi_greedy_basic_adapK_hull,3.00,9712,0,3447,652,132.16,0.00
xql662,hhi_greedy_basic_adapK_hull,3.50,9712,0,3333,654,136.67,0.00
xql662,hhi_greedy_basic_adapK_hull,4.00,9712,0,3386,656,136.50,0.00
xql662,hhi_greedy_basic_adapK_hull,5.00,9712,0,3397,656,136.31,0.00
xql662,hhi_greedy_basic_adapK_hull,7.00,9712,0,3501,657,135.46,0.00
xql662,hhi_greedy_basic_adapK_hull,10.00,9712,1,3411,656,136.36,0.00
xql662,hhi_greedy_basic_adapK_hull,25.00,9712,0,3411,656,137.13,0.00
xql662,hhi_greedy_basic_adapK_hull,50.00,9712,0,3573,657,138.15,0.00
xql662,hhi_greedy_basic_adapK_hull,75.00,9712,0,4017,659,138.92,0.00
xql662,hhi_greedy_basic_adapK_hull,100.00,9712,0,3678,659,137.02,0.00
xql662,hhi_greedy_basic_adapK_hull,200.00,9712,1,3619,658,141.23,0.00
kz9976,hhi_greedy_basic_adapK_hull,0.00,9712,12,1627044,9941,112.57,0.00
kz9976,hhi_greedy_basic_adapK_hull,0.50,9712,11,1600329,9949,112.36,0.00
kz9976,hhi_greedy_basic_adapK_hull,1.00,9712,12,1600384,9949,112.38,0.00
kz9976,hhi_greedy_basic_adapK_hull,1.50,9712,11,1599813,9949,112.36,0.00
kz9976,hhi_greedy_basic_adapK_hull,2.00,9712,11,1613578,9946,112.44,0.00
kz9976,hhi_greedy_basic_adapK_hull,2.50,9712,10,1628156,9941,112.39,0.00
kz9976,hhi_greedy_basic_adapK_hull,3.00,9712,11,1612124,9942,112.55,0.00
kz9976,hhi_greedy_basic_adapK_hull,3.50,9712,10,1611694,9943,112.56,0.00
kz9976,hhi_greedy_basic_adapK_hull,4.00,9712,8,1610850,9945,112.47,0.00
kz9976,hhi_greedy_basic_adapK_hull,5.00,9712,10,1612142,9938,112.81,0.00
kz9976,hhi_greedy_basic_adapK_hull,7.00,9712,10,1614267,9946,112.83,0.00
kz9976,hhi_greedy_basic_adapK_hull,10.00,9712,9,1612563,9946,113.47,0.00
kz9976,hhi_greedy_basic_adapK_hull,25.00,9712,10,1606195,9946,113.59,0.00
kz9976,hhi_greedy_basic_adapK_hull,50.00,9712,11,1609411,9948,115.28,0.00
kz9976,hhi_greedy_basic_adapK_hull,75.00,9712,8,1597528,9946,115.35,0.00
kz9976,hhi_greedy_basic_adapK_hull,100.00,9712,8,1619621,9949,115.79,0.00
kz9976,hhi_greedy_basic_adapK_hull,200.00,9712,9,1624765,9950,117.06,0.00
ei8246,hhi_greedy_basic_adapK_hull,0.00,9712,14,268519,8233,117.09,0.00
ei8246,hhi_greedy_basic_adapK_hull,0.50,9712,14,267226,8233,117.30,0.00
ei8246,hhi_greedy_basic_adapK_hull,1.00,9712,13,266662,8232,116.99,0.00
ei8246,hhi_greedy_basic_adapK_hull,1.50,9712,13,268079,8238,117.73,0.00
ei8246,hhi_greedy_basic_adapK_hull,2.00,9712,13,269462,8234,117.33,0.00
ei8246,hhi_greedy_basic_adapK_hull,2.50,9712,13,265143,8230,117.59,0.00
ei8246,hhi_greedy_basic_adapK_hull,3.00,9712,15,264595,8236,117.79,0.00
ei8246,hhi_greedy_basic_adapK_hull,3.50,9712,14,265644,8236,117.63,0.00
ei8246,hhi_greedy_basic_adapK_hull,4.00,9712,13,268252,8235,117.84,0.00
ei8246,hhi_greedy_basic_adapK_hull,5.00,9712,13,265649,8233,118.24,0.00
ei8246,hhi_greedy_basic_adapK_hull,7.00,9712,14,267128,8235,118.81,0.00
ei8246,hhi_greedy_basic_adapK_hull,10.00,9712,16,265001,8234,119.61,0.00
ei8246,hhi_greedy_basic_adapK_hull,25.00,9712,15,275209,8235,121.91,0.00
ei8246,hhi_greedy_basic_adapK_hull,50.00,9712,14,277087,8233,123.84,0.00
ei8246,hhi_greedy_basic_adapK_hull,75.00,9712,14,280181,8239,125.31,0.00
ei8246,hhi_greedy_basic_adapK_hull,100.00,9712,14,287797,8236,125.48,0.00
ei8246,hhi_greedy_basic_adapK_hull,200.00,9712,13,293928,8241,128.27,0.00
vm22775,hhi_greedy_basic_adapK_hull,0.00,9712,24,865118,22305,116.20,0.00
vm22775,hhi_greedy_basic_adapK_hull,0.50,9712,21,870603,22354,117.13,0.00
vm22775,hhi_greedy_basic_adapK_hull,1.00,9712,23,871697,22360,117.07,0.00
vm22775,hhi_greedy_basic_adapK_hull,1.50,9712,23,873088,22368,117.09,0.00
vm22775,hhi_greedy_basic_adapK_hull,2.00,9712,27,862196,22355,117.26,0.00
vm22775,hhi_greedy_basic_adapK_hull,2.50,9712,26,859797,22364,117.51,0.00
vm22775,hhi_greedy_basic_adapK_hull,3.00,9712,25,861283,22367,117.59,0.00
vm22775,hhi_greedy_basic_adapK_hull,3.50,9712,29,867390,22372,117.46,0.00
vm22775,hhi_greedy_basic_adapK_hull,4.00,9712,28,864577,22379,117.55,0.00
vm22775,hhi_greedy_basic_adapK_hull,5.00,9712,24,867221,22382,117.76,0.00
vm22775,hhi_greedy_basic_adapK_hull,7.00,9712,29,873418,22381,118.01,0.00
vm22775,hhi_greedy_basic_adapK_hull,10.00,9712,29,875998,22377,118.50,0.00
vm22775,hhi_greedy_basic_adapK_hull,25.00,9712,26,882819,22440,119.36,0.00
vm22775,hhi_greedy_basic_adapK_hull,50.00,9712,22,889959,22510,120.49,0.00
vm22775,hhi_greedy_basic_adapK_hull,75.00,9712,24,890893,22525,121.01,0.00
vm22775,hhi_greedy_basic_adapK_hull,100.00,9712,21,900059,22561,121.34,0.00
vm22775,hhi_greedy_basic_adapK_hull,200.00,9712,24,925174,22585,122.45,0.00
ja9847,hhi_greedy_basic_adapK_hull,0.00,9712,9,793247,9748,114.66,0.00
ja9847,hhi_greedy_basic_adapK_hull,0.50,9712,8,793344,9762,115.21,0.00
ja9847,hhi_greedy_basic_adapK_hull,1.00,9712,7,779125,9762,115.31,0.00
ja9847,hhi_greedy_basic_adapK_hull,1.50,9712,8,778376,9764,115.43,0.00
ja9847,hhi_greedy_basic_adapK_hull,2.00,9712,9,781028,9757,116.13,0.00
ja9847,hhi_greedy_basic_adapK_hull,2.50,9712,8,785066,9759,116.19,0.00
ja9847,hhi_greedy_basic_adapK_hull,3.00,9712,9,781883,9762,116.14,0.00
ja9847,hhi_greedy_basic_adapK_hull,3.50,9712,10,782315,9765,116.17,0.00
