Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_greedy_basic_adapK_multi,0,7736,0,364,19,122.70,0.00
a20,hhi_greedy_basic_adapK_multi,0.50,7736,0,356,19,136.23,0.00
a20,hhi_greedy_basic_adapK_multi,1.00,7736,0,356,19,136.23,0.00
a20,hhi_greedy_basic_adapK_multi,1.50,7736,0,356,19,136.23,0.00
a20,hhi_greedy_basic_adapK_multi,2.00,7736,0,356,19,136.23,0.00
a20,hhi_greedy_basic_adapK_multi,2.50,7736,0,356,19,136.23,0.00
a20,hhi_greedy_basic_adapK_multi,3.00,7736,0,356,19,136.23,0.00
a20,hhi_greedy_basic_adapK_multi,3.50,7736,0,356,19,136.23,0.00
a20,hhi_greedy_basic_adapK_multi,4.00,7736,0,356,19,136.23,0.00
a20,hhi_greedy_basic_adapK_multi,5.00,7736,0,356,19,136.23,0.00
a20,hhi_greedy_basic_adapK_multi,7.00,7736,0,356,19,136.23,0.00
a20,hhi_greedy_basic_adapK_multi,10.00,7736,0,352,19,132.34,0.00
a20,hhi_greedy_basic_adapK_multi,25.00,7736,0,341,19,146.55,0.00
a20,hhi_greedy_basic_adapK_multi,50.00,7736,0,341,19,146.55,0.00
a20,hhi_greedy_basic_adapK_multi,75.00,7736,0,338,18,151.39,0.00
a20,hhi_greedy_basic_adapK_multi,100.00,7736,0,338,18,151.39,0.00
a20,hhi_greedy_basic_adapK_multi,200.00,7736,0,338,18,151.39,0.00
a280,hhi_greedy_basic_adapK_multi,0.00,7736,2,3221,277,136.29,0.00
a280,hhi_greedy_basic_adapK_multi,0.50,7736,2,3298,272,135.40,0.00
a280,hhi_greedy_basic_adapK_multi,1.00,7736,2,3298,272,135.40,0.00
a280,hhi_greedy_basic_adapK_multi,1.50,7736,2,3298,272,135.40,0.00
a280,hhi_greedy_basic_adapK_multi,2.00,7736,2,3298,272,135.40,0.00
a280,hhi_greedy_basic_adapK_multi,2.50,7736,2,3298,272,135.40,0.00
a280,hhi_greedy_basic_adapK_multi,3.00,7736,2,3298,272,135.40,0.00
a280,hhi_greedy_basic_adapK_multi,3.50,7736,2,3298,272,135.40,0.00
a280,hhi_greedy_basic_adapK_multi,4.00,7736,2,3298,272,135.40,0.00
a280,hhi_greedy_basic_adapK_multi,5.00,7736,2,3298,272,135.40,0.00
a280,hhi_greedy_basic_adapK_multi,7.00,7736,2,3298,272,135.40,0.00
a280,hhi_greedy_basic_adapK_multi,10.00,7736,2,3298,272,135.40,0.00
a280,hhi_greedy_basic_adapK_multi,25.00,7736,2,3248,276,138.65,0.00
a280,hhi_greedy_basic_adapK_multi,50.00,7736,2,3190,273,135.07,0.00
a280,hhi_greedy_basic_adapK_multi,75.00,7736,2,3190,273,135.07,0.00
a280,hhi_greedy_basic_adapK_multi,100.00,7736,2,3287,272,136.21,0.00
a280,hhi_greedy_basic_adapK_multi,200.00,7736,2,3357,275,143.04,0.00
xql662,hhi_greedy_basic_adapK_multi,0.00,7736,5,3149,653,130.72,0.00
xql662,hhi_greedy_basic_adapK_multi,0.50,7736,5,3141,650,133.07,0.00
xql662,hhi_greedy_basic_adapK_multi,1.00,7736,5,3119,655,132.75,0.00
xql662,hhi_greedy_basic_adapK_multi,1.50,7736,5,3175,653,136.49,0.00
xql662,hhi_greedy_basic_adapK_multi,2.00,7736,5,3188,653,136.51,0.00
xql662,hhi_greedy_basic_adapK_multi,2.50,7736,5,3188,653,136.69,0.00
xql662,hhi_greedy_basic_adapK_multi,3.00,7736,5,3311,654,133.37,0.00
xql662,hhi_greedy_basic_adapK_multi,3.50,7736,6,3276,650,133.91,0.00
xql662,hhi_greedy_basic_adapK_multi,4.00,7736,5,3276,650,133.91,0.00
xql662,hhi_greedy_basic_adapK_multi,5.00,7736,6,3323,653,135.92,0.00
xql662,hhi_greedy_basic_adapK_multi,7.00,7736,5,3265,654,135.04,0.00
xql662,hhi_greedy_basic_adapK_multi,10.00,7736,5,3321,657,135.61,0.00
xql662,hhi_greedy_basic_adapK_multi,25.00,7736,5,3411,656,137.13,0.00
xql662,hhi_greedy_basic_adapK_multi,50.00,7736,5,3536,659,136.53,0.00
xql662,hhi_greedy_basic_adapK_multi,75.00,7736,5,3587,658,139.58,0.00
xql662,hhi_greedy_basic_adapK_multi,100.00,7736,5,3563,660,139.88,0.00
xql662,hhi_greedy_basic_adapK_multi,200.00,7736,5,3587,661,140.00,0.00
kz9976,hhi_greedy_basic_adapK_multi,0.00,7736,80,1487767,9950,114.79,0.00
kz9976,hhi_greedy_basic_adapK_multi,0.50,7736,87,1502711,9947,114.36,0.00
kz9976,hhi_greedy_basic_adapK_multi,1.00,7736,87,1486351,9952,114.15,0.00
kz9976,hhi_greedy_basic_adapK_multi,1.50,7736,99,1468627,9947,114.70,0.00
kz9976,hhi_greedy_basic_adapK_multi,2.00,7736,80,1492087,9950,114.35,0.00
kz9976,hhi_greedy_basic_adapK_multi,2.50,7736,79,1494717,9953,115.03,0.00
kz9976,hhi_greedy_basic_adapK_multi,3.00,7736,86,1495406,9951,114.43,0.00
kz9976,hhi_greedy_basic_adapK_multi,3.50,7736,96,1493295,9950,114.44,0.00
kz9976,hhi_greedy_basic_adapK_multi,4.00,7736,97,1492822,9950,114.54,0.00
kz9976,hhi_greedy_basic_adapK_multi,5.00,7736,84,1477543,9950,115.20,0.00
kz9976,hhi_greedy_basic_adapK_multi,7.00,7736,78,1490888,9948,115.12,0.00
kz9976,hhi_greedy_basic_adapK_multi,10.00,7736,81,1480588,9946,115.45,0.00
kz9976,hhi_greedy_basic_adapK_multi,25.00,7736,83,1483721,9946,115.30,0.00
kz9976,hhi_greedy_basic_adapK_multi,50.00,7736,87,1479156,9949,117.07,0.00
kz9976,hhi_greedy_basic_adapK_multi,75.00,7736,82,1496505,9952,117.59,0.00
kz9976,hhi_greedy_basic_adapK_multi,100.00,7736,80,1472808,9960,117.88,0.00
kz9976,hhi_greedy_basic_adapK_multi,200.00,7736,78,1526320,9961,119.33,0.00
ei8246,hhi_greedy_basic_adapK_multi,0.00,7736,96,265414,8240,117.60,0.00
ei8246,hhi_greedy_basic_adapK_multi,0.50,7736,93,264565,8234,117.39,0.00
ei8246,hhi_greedy_basic_adapK_multi,1.00,7736,97,265399,8230,116.69,0.00
ei8246,hhi_greedy_basic_adapK_multi,1.50,7736,98,261824,8229,117.24,0.00
ei8246,hhi_greedy_basic_adapK_multi,2.00,7736,97,264625,8233,117.15,0.00
ei8246,hhi_greedy_basic_adapK_multi,2.50,7736,99,265143,8230,117.59,0.00
ei8246,hhi_greedy_basic_adapK_multi,3.00,7736,97,264595,8236,117.79,0.00
ei8246,hhi_greedy_basic_adapK_multi,3.50,7736,96,264298,8235,117.79,0.00
ei8246,hhi_greedy_basic_adapK_multi,4.00,7736,98,265650,8230,117.67,0.00
ei8246,hhi_greedy_basic_adapK_multi,5.00,7736,93,265654,8233,118.23,0.00
ei8246,hhi_greedy_basic_adapK_multi,7.00,7736,95,264906,8239,118.83,0.00
ei8246,hhi_greedy_basic_adapK_multi,10.00,7736,95,267164,8238,119.33,0.00
ei8246,hhi_greedy_basic_adapK_multi,25.00,7736,97,271970,8236,120.76,0.00
ei8246,hhi_greedy_basic_adapK_multi,50.00,7736,108,274406,8240,123.61,0.00
ei8246,hhi_greedy_basic_adapK_multi,75.00,7736,94,279732,8239,125.09,0.00
ei8246,hhi_greedy_basic_adapK_multi,100.00,7736,101,284171,8239,125.95,0.00
ei8246,hhi_greedy_basic_adapK_multi,200.00,7736,104,289240,8242,127.67,0.00
vm22775,hhi_greedy_basic_adapK_multi,0.00,7736,237,844349,22360,114.85,0.00
vm22775,hhi_greedy_basic_adapK_multi,0.50,7736,173,842099,22422,117.09,0.00
vm22775,hhi_greedy_basic_adapK_multi,1.00,7736,183,844438,22427,117.20,0.00
vm22775,hhi_greedy_basic_adapK_multi,1.50,7736,176,836331,22422,117.45,0.00
vm22775,hhi_greedy_basic_adapK_multi,2.00,7736,179,836387,22420,117.39,0.00
vm22775,hhi_greedy_basic_adapK_multi,2.50,7736,185,833375,22427,117.44,0.00
