Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_greedy_linearPenalty,0,9712,0,370,19,113.22,0.00
a20,hhi_greedy_linearPenalty,0.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_linearPenalty,1.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_linearPenalty,1.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_linearPenalty,2.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_linearPenalty,2.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_linearPenalty,3.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_linearPenalty,3.50,9712,0,370,19,113.22,0.00
a20,hhi_greedy_linearPenalty,4.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_linearPenalty,5.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_linearPenalty,7.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_linearPenalty,10.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_linearPenalty,25.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_linearPenalty,50.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_linearPenalty,75.00,9712,0,370,19,113.22,0.00
a20,hhi_greedy_linearPenalty,100.00,9712,0,362,19,126.75,0.00
a20,hhi_greedy_linearPenalty,200.00,9712,0,362,19,128.43,0.00
a280,hhi_greedy_linearPenalty,0.00,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_linearPenalty,0.50,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_linearPenalty,1.00,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_linearPenalty,1.50,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_linearPenalty,2.00,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_linearPenalty,2.50,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_linearPenalty,3.00,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_linearPenalty,3.50,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_linearPenalty,4.00,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_linearPenalty,5.00,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_linearPenalty,7.00,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_linearPenalty,10.00,9712,0,3358,274,134.27,0.00
a280,hhi_greedy_linearPenalty,25.00,9712,0,3377,274,136.04,0.00
a280,hhi_greedy_linearPenalty,50.00,9712,0,3377,274,136.04,0.00
