Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,insertion,0,3456,0,335,19,149.87,0.00
a20,insertion,0.50,3712,0,335,19,149.87,0.00
a20,insertion,1.00,3712,0,335,19,149.87,0.00
a20,insertion,1.50,3712,0,335,19,149.87,0.00
a20,insertion,2.00,3712,0,335,19,149.87,0.00
a20,insertion,2.50,3712,0,335,19,149.87,0.00
a20,insertion,3.00,3712,0,335,19,149.87,0.00
a20,insertion,3.50,3712,0,335,19,149.87,0.00
a20,insertion,4.00,3712,0,335,19,149.87,0.00
a20,insertion,5.00,3712,0,335,19,149.87,0.00
a20,insertion,7.00,3712,0,335,19,149.87,0.00
a20,insertion,10.00,3712,0,335,19,149.87,0.00
a280,insertion,0.00,3712,25,3094,276,141.67,0.00
a280,insertion,0.50,3712,20,3094,276,141.67,0.00
a280,insertion,1.00,3712,22,3094,276,141.67,0.00
a280,insertion,1.50,3712,19,3094,276,141.67,0.00
a280,insertion,2.00,3712,21,3094,276,141.67,0.00
a280,insertion,2.50,3712,22,3094,276,141.67,0.00
a280,insertion,3.00,3712,20,3094,276,141.67,0.00
a280,insertion,3.50,3712,24,3094,276,141.67,0.00
a280,insertion,4.00,3712,25,3094,276,141.67,0.00
a280,insertion,5.00,3712,24,3094,276,141.67,0.00
a280,insertion,7.00,3712,21,3094,276,141.67,0.00
a280,insertion,10.00,3712,21,3094,276,141.67,0.00
xql662,insertion,0.00,3712,312,3047,656,131.34,0.00
xql662,insertion,0.50,3712,260,3047,656,131.34,0.00
xql662,insertion,1.00,3712,287,3047,656,131.34,0.00
xql662,insertion,1.50,3712,275,3047,656,131.34,0.00
xql662,insertion,2.00,3712,286,3047,656,131.34,0.00
xql662,insertion,2.50,3712,286,3047,656,131.34,0.00
xql662,insertion,3.00,3712,256,3047,656,131.34,0.00
xql662,insertion,3.50,3712,284,3047,656,131.34,0.00
xql662,insertion,4.00,3712,317,3047,656,131.34,0.00
xql662,insertion,5.00,3712,266,3047,656,131.34,0.00
xql662,insertion,7.00,3712,262,3047,656,131.34,0.00
xql662,insertion,10.00,3712,287,3047,656,131.34,0.00
